#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:143016-144332|+   -            439 38133at91347         -            376    6e-180  596.2   0.0   1   1  1.5e-182  8.9e-180  595.7   0.0     1   376     1   438     1   438 0.90 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:4672048-4673421|+ -            458 38133at91347         -            376   0.00014   19.0   0.0   2   2     1e-05    0.0061   13.7   0.0   212   288   265   346   247   356 0.86 NC_011205.1_4418 # 4672048 # 4673421 # 1 # ID=1_4418;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
NC_011205.1:2715147-2717108|- -            654 38133at91347         -            376    0.0045   14.1   0.0   1   2     7e-05     0.041   11.0   0.0     5    37   326   358   322   365 0.91 NC_011205.1_2635 # 2715147 # 2717108 # -1 # ID=1_2635;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.583
NC_011205.1:2715147-2717108|- -            654 38133at91347         -            376    0.0045   14.1   0.0   2   2     0.088        51    0.8   0.0     5    31   467   493   463   512 0.81 NC_011205.1_2635 # 2715147 # 2717108 # -1 # ID=1_2635;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.583
NC_011205.1:2598517-2599785|- -            423 38133at91347         -            376     0.016   12.3   0.0   1   3   0.00086       0.5    7.4   0.0    91   121    50    80    23    85 0.81 NC_011205.1_2519 # 2598517 # 2599785 # -1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011205.1:2598517-2599785|- -            423 38133at91347         -            376     0.016   12.3   0.0   2   3     0.033        19    2.2   0.0   133   174   140   182   131   213 0.80 NC_011205.1_2519 # 2598517 # 2599785 # -1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011205.1:2598517-2599785|- -            423 38133at91347         -            376     0.016   12.3   0.0   3   3       1.9   1.1e+03   -3.6   0.0   227   265   257   293   252   296 0.59 NC_011205.1_2519 # 2598517 # 2599785 # -1 # ID=1_2519;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.584
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/38133at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:17 2026
# [ok]
