#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:2854313-2856112|- -            600 11342at91347         -            517  6.8e-278  920.5   0.0   1   1  1.7e-280  7.9e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_011205.1_2744 # 2854313 # 2856112 # -1 # ID=1_2744;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
NC_011205.1:4391486-4392670|+ -            395 11342at91347         -            517   9.1e-13   45.8   0.0   1   1   2.7e-15   1.3e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_011205.1_4181 # 4391486 # 4392670 # 1 # ID=1_4181;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539
NC_011205.1:3117432-3118871|- -            480 11342at91347         -            517   3.6e-11   40.5   0.1   1   1   1.5e-13     7e-11   39.5   0.1    38   138    79   183    25   189 0.77 NC_011205.1_3002 # 3117432 # 3118871 # -1 # ID=1_3002;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.549
NC_011205.1:3911094-3912944|- -            617 11342at91347         -            517   1.8e-07   28.3   0.0   1   1   8.4e-10   3.9e-07   27.2   0.0    11   164     7   158     2   172 0.71 NC_011205.1_3747 # 3911094 # 3912944 # -1 # ID=1_3747;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_011205.1:2779135-2780607|- -            491 11342at91347         -            517   0.00024   18.0   0.0   1   1   8.9e-07   0.00042   17.2   0.0    79   167   273   368   204   377 0.80 NC_011205.1_2678 # 2779135 # 2780607 # -1 # ID=1_2678;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/GCF_000020925.1_ASM2092v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:00 2026
# [ok]
