#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000003.1:140616-141932|- -            439 38133at91347         -            376  6.2e-180  596.2   0.0   1   1  1.6e-182  9.2e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABEW01000003.1_125 # 140616 # 141932 # -1 # ID=61_125;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
NZ_ABEW01000002.1:66296-67714|-   -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.6    5.0   0.0     4    32   285   313   282   332 0.82 NZ_ABEW01000002.1_62 # 66296 # 67714 # -1 # ID=62_62;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABEW01000008.1:169628-171589|+ -            654 38133at91347         -            376    0.0029   14.7   0.0   1   2   4.6e-05     0.027   11.6   0.0     5    38   326   359   322   367 0.91 NZ_ABEW01000008.1_133 # 169628 # 171589 # 1 # ID=56_133;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEW01000008.1:169628-171589|+ -            654 38133at91347         -            376    0.0029   14.7   0.0   2   2     0.088        52    0.8   0.0     5    31   467   493   463   512 0.81 NZ_ABEW01000008.1_133 # 169628 # 171589 # 1 # ID=56_133;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABEW01000006.1:53201-54469|+   -            423 38133at91347         -            376     0.017   12.2   0.0   1   3   0.00086      0.51    7.4   0.0    91   121    50    80    23    85 0.81 NZ_ABEW01000006.1_50 # 53201 # 54469 # 1 # ID=58_50;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.580
NZ_ABEW01000006.1:53201-54469|+   -            423 38133at91347         -            376     0.017   12.2   0.0   2   3     0.037        22    2.0   0.0   133   171   140   179   131   208 0.81 NZ_ABEW01000006.1_50 # 53201 # 54469 # 1 # ID=58_50;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.580
NZ_ABEW01000006.1:53201-54469|+   -            423 38133at91347         -            376     0.017   12.2   0.0   3   3       1.9   1.1e+03   -3.6   0.0   227   265   257   293   252   296 0.59 NZ_ABEW01000006.1_50 # 53201 # 54469 # 1 # ID=58_50;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.580
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/38133at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/38133at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:06 2026
# [ok]
