#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000021.1:3-308|+         -            102 34836at91347         -            291   3.4e-55  185.3   4.8   1   1   9.2e-58   3.7e-55  185.1   4.8   200   291     1    96     1    96 0.98 NZ_ABFG01000021.1_1 # 3 # 308 # 1 # ID=30_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.516
NZ_ABFG01000003.1:204900-205451|+ -            184 34836at91347         -            291    0.0011   16.1   3.5   1   2      0.25     1e+02   -0.1   0.0   216   229    92   105    62   119 0.58 NZ_ABFG01000003.1_213 # 204900 # 205451 # 1 # ID=48_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.489
NZ_ABFG01000003.1:204900-205451|+ -            184 34836at91347         -            291    0.0011   16.1   3.5   2   2   5.2e-06    0.0021   15.3   2.7   216   258   128   169    93   182 0.73 NZ_ABFG01000003.1_213 # 204900 # 205451 # 1 # ID=48_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.489
NZ_ABFG01000023.1:19959-20513|-   -            185 34836at91347         -            291    0.0063   13.7   7.9   1   1   0.00015     0.061   10.5   7.9   124   235    14   133     8   137 0.74 NZ_ABFG01000023.1_36 # 19959 # 20513 # -1 # ID=28_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.503
NZ_ABFG01000002.1:160143-160964|+ -            274 34836at91347         -            291     0.019   12.2   2.1   1   1   7.3e-05      0.03   11.5   2.1   159   265   135   240   121   245 0.59 NZ_ABFG01000002.1_152 # 160143 # 160964 # 1 # ID=49_152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABFG01000006.1:74211-74807|+   -            199 34836at91347         -            291       0.2    8.8   9.9   1   1    0.0011      0.46    7.6  10.1   157   251    26   122    16   130 0.82 NZ_ABFG01000006.1_64 # 74211 # 74807 # 1 # ID=45_64;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/34836at91347.hmm
# Target file:     reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/34836at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/34836at91347.hmm reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:11 2026
# [ok]
