# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	37104	38666	-	HFCAGB_00036		5'-Nucleotidase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A9MR56, UniRef:UniRef90_A9MR56
contig_1	cds	38774	39535	-	HFCAGB_00037		Outer membrane/exported protein	RefSeq:WP_000791534.1, SO:0001217, UniParc:UPI00000CCE14, UniRef:UniRef100_Q8ZRZ8, UniRef:UniRef50_A9MR55, UniRef:UniRef90_A9MR55
contig_1	cds	40129	41622	+	HFCAGB_00038		Arylsulfatase	RefSeq:WP_000831881.1, SO:0001217, UniParc:UPI00016A0A30, UniRef:UniRef100_A0A3Y2QR56, UniRef:UniRef50_A0A237NMI4, UniRef:UniRef90_A0A379TJ46
contig_1	cds	41721	42911	+	HFCAGB_00039		anaerobic sulfatase maturase	EC:1.1.98.7, GO:0016491, GO:0018209, GO:0046500, GO:0051539, KEGG:K24118, RefSeq:WP_000971148.1, SO:0001217, UniParc:UPI00000CCE16, UniRef:UniRef100_Q8ZRZ6, UniRef:UniRef50_A0A8B4U183, UniRef:UniRef90_A9MR53
contig_1	cds	42936	44183	+	HFCAGB_00040		Cytoplasmic protein	SO:0001217, UniParc:UPI00016A0A31, UniRef:UniRef100_A0A3Y6DD55, UniRef:UniRef50_A9MR52, UniRef:UniRef90_A9MR52
contig_1	cds	44310	46025	+	HFCAGB_00041		Arylsulfotransferase N-terminal domain-containing protein	EC:2.8.2.22, KEGG:K01023, RefSeq:WP_001094889.1, SO:0001217, UniParc:UPI00016A0A32, UniRef:UniRef100_A0A656ICX2, UniRef:UniRef50_A9MR51, UniRef:UniRef90_A9MR51
contig_1	cds	46188	47354	+	HFCAGB_00042	nhaA	Na+/H+ antiporter NhaA	COG:COG3004, COG:CP, GO:0005886, GO:0006814, GO:0006885, GO:0015385, GO:0016020, KEGG:K03313, RefSeq:WP_000681340.1, SO:0001217, UniParc:UPI00000CCE19, UniRef:UniRef100_Q8ZRZ3, UniRef:UniRef50_P13738, UniRef:UniRef90_P13738
contig_1	cds	47422	48315	+	HFCAGB_00043	nhaR	transcriptional activator NhaR	COG:COG0583, COG:K, GO:0003677, GO:0003700, GO:0005737, GO:0006355, GO:2000142, SO:0001217, UniParc:UPI0001603D0A, UniRef:UniRef100_A0A3Y4H234, UniRef:UniRef50_P0A9G2, UniRef:UniRef90_P0A9G2
contig_1	cds	48370	50409	-	HFCAGB_00044		Glycoside hydrolase family 31 protein	RefSeq:WP_001116453.1, SO:0001217, UniParc:UPI00016A0C3F, UniRef:UniRef100_M7RH29, UniRef:UniRef50_Q01336, UniRef:UniRef90_A0A0J1MYT1
contig_1	cds	50449	50859	-	HFCAGB_00045	yihP	(pseudo) Inner membrane symporter yihP	SO:0001217, UniRef:UniRef50_A0A3S4HS84, UniRef:UniRef50_A0A8S0G272, UniRef:UniRef90_A0A3S4HS84
contig_1	cds	50905	51822	-	HFCAGB_00046		Sodium galactoside symporter	SO:0001217, UniParc:UPI0002AE98E1, UniRef:UniRef100_A0A379WF12, UniRef:UniRef50_A0A447P0R6, UniRef:UniRef90_Q8ZRZ1
contig_1	cds	52317	52526	+	HFCAGB_00047		Lipoprotein	SO:0001217, UniParc:UPI0003E4EAFA, UniRef:UniRef100_A0A8D4Z1X2, UniRef:UniRef50_C5B7M1, UniRef:UniRef90_E3GA15
contig_1	cds	52870	53808	+	HFCAGB_00048	ribF	bifunctional riboflavin kinase/FAD synthetase	COG:COG0196, COG:H, EC:2.7.1.26, EC:2.7.7.2, GO:0003919, GO:0005524, GO:0006747, GO:0006771, GO:0008531, GO:0009231, GO:0009398, KEGG:K11753, RefSeq:WP_000767318.1, SO:0001217, UniParc:UPI000048E9A9, UniRef:UniRef100_A0A5H5GRA3, UniRef:UniRef50_P0AG40, UniRef:UniRef90_P0AG40
contig_1	cds	53853	56687	+	HFCAGB_00049	ileS	isoleucine--tRNA ligase	EC:6.1.1.5, GO:0000049, GO:0000166, GO:0002161, GO:0004822, GO:0005524, GO:0005829, GO:0006428, GO:0008270, RefSeq:WP_001674865.1, SO:0001217, UniParc:UPI0000627646, UniRef:UniRef100_Q57TL5, UniRef:UniRef50_P00956, UniRef:UniRef90_Q57TL5
contig_1	cds	56687	57187	+	HFCAGB_00050	lspA	signal peptidase II	COG:COG0597, COG:MU, EC:3.4.23.36, GO:0004190, GO:0005886, GO:0006508, GO:0009306, KEGG:K03101, RefSeq:WP_000042736.1, SO:0001217, UniParc:UPI000169F1CF, UniRef:UniRef100_B5F725, UniRef:UniRef50_P00804, UniRef:UniRef90_Q8ZRY9
contig_1	cds	57342	57791	+	HFCAGB_00051	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	COG:COG1047, COG:O, EC:5.2.1.8, GO:0003755, RefSeq:WP_000047274.1, SO:0001217, UniParc:UPI00016A0DDB, UniRef:UniRef100_A0A3Z0Y1B5, UniRef:UniRef50_P0AEM0, UniRef:UniRef90_Q7CR92
contig_1	cds	57794	58744	+	HFCAGB_00052	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	COG:COG0761, COG:I, EC:1.17.7.4, GO:0016114, GO:0019288, GO:0046872, GO:0050992, GO:0051539, GO:0051745, KEGG:K03527, RefSeq:WP_001166428.1, SO:0001217, UniParc:UPI00004F781D, UniRef:UniRef100_B5F728, UniRef:UniRef50_P62623, UniRef:UniRef90_P62623
contig_1	ncRNA	58790	58921	+	HFCAGB_00053	STnc30	Salmonella enterica conserved region STnc30	RFAM:RF02048, SO:0000655
contig_1	cds	59187	60146	+	HFCAGB_00054		Nitrite reductase	SO:0001217, UniRef:UniRef50_A0A6C6YX93, UniRef:UniRef90_A0A6C6YX93
contig_1	cds	60162	61082	+	HFCAGB_00055	rihC	ribonucleoside hydrolase RihC	EC:3.2.-.-, EC:3.2.2.-, GO:0005829, GO:0006144, GO:0006152, GO:0006206, GO:0008477, GO:0016799, KEGG:K12700, RefSeq:WP_000127283.1, SO:0001217, UniParc:UPI00000CCE1F, UniRef:UniRef100_Q8ZRY7, UniRef:UniRef50_Q8ZRY7, UniRef:UniRef90_Q8ZRY7
contig_1	cds	61104	61790	-	HFCAGB_00056		Transcriptional regulatory protein	KEGG:K07702, RefSeq:WP_000377406.1, SO:0001217, UniParc:UPI00000CCE20, UniRef:UniRef100_Q8ZRY6, UniRef:UniRef50_P52688, UniRef:UniRef90_A0A4Z0PDP3
contig_1	cds	61792	63450	-	HFCAGB_00057		histidine kinase	SO:0001217, UniParc:UPI00017F773B, UniRef:UniRef100_A0A6C6ZX32, UniRef:UniRef50_P52687, UniRef:UniRef90_A0A0T9Y0C6
contig_1	cds	63546	64847	-	HFCAGB_00058	oadB2	Oxaloacetate decarboxylase beta chain 2	EC:7.2.4.2, GO:0005886, GO:0006814, GO:0015451, GO:0016829, KEGG:K20509, RefSeq:WP_000444831.1, SO:0001217, UniParc:UPI00016A0DDD, UniRef:UniRef100_A0A5Y5E1M6, UniRef:UniRef50_Q03031, UniRef:UniRef90_Q03031
contig_1	cds	64860	66632	-	HFCAGB_00059	oadA	sodium-extruding oxaloacetate decarboxylase subunit alpha	EC:7.2.4.2, GO:0006814, GO:0008948, GO:0015081, RefSeq:WP_000150437.1, SO:0001217, UniParc:UPI00016A0C2C, UniRef:UniRef100_A0A8X6ERC9, UniRef:UniRef50_P13187, UniRef:UniRef90_A0A8B4U228
contig_1	cds	66648	66887	-	HFCAGB_00060	oadG	putative oxaloacetate decarboxylase gamma chain	EC:7.2.4.2, GO:0005886, GO:0008948, GO:0015081, GO:0015451, GO:0036376, RefSeq:WP_001001155.1, SO:0001217, UniParc:UPI000048E9B2, UniRef:UniRef100_Q5PKI8, UniRef:UniRef50_Q03032, UniRef:UniRef90_Q8Z9M5
contig_1	cds	67046	68386	-	HFCAGB_00061	citS	citrate/sodium symporter CitS	BlastRules:WP_000183602, BlastRules:WP_004151375, COG:C, COG:COG3493, GO:0005886, GO:0006101, GO:0006814, GO:0008514, GO:0015293, GO:0046872, RefSeq:WP_000183596.1, SO:0001217, UniParc:UPI0000127A47, UniRef:UniRef100_P31603, UniRef:UniRef50_P31602, UniRef:UniRef90_P31602
contig_1	cds	68706	69674	+	HFCAGB_00062	citC	[citrate (pro-3S)-lyase] ligase	EC:6.2.1.22, GO:0006101, GO:0008771, KEGG:K01910, SO:0001217, UniRef:UniRef50_P45410, UniRef:UniRef90_UPI002E312016
contig_1	cds	69704	69997	+	HFCAGB_00063	citD	citrate lyase acyl carrier protein	EC:4.1.3.6, GO:0005737, GO:0006113, GO:0008815, GO:0009346, RefSeq:WP_000691461.1, SO:0001217, UniParc:UPI000005999D, UniRef:UniRef100_Q7CR91, UniRef:UniRef50_Q7CR91, UniRef:UniRef90_Q7CR91
contig_1	cds	69994	70863	+	HFCAGB_00064	citE	citrate (pro-3S)-lyase subunit beta	EC:4.1.3.34, EC:4.1.3.6, GO:0005737, GO:0006084, GO:0006113, GO:0008815, GO:0009346, RefSeq:WP_001247811.1, SO:0001217, UniParc:UPI00000D7597, UniRef:UniRef100_Q8ZRY2, UniRef:UniRef50_P17725, UniRef:UniRef90_Q8ZRY2
contig_1	cds	70874	72394	+	HFCAGB_00065	citF	citrate lyase subunit alpha	COG:C, COG:COG3051, EC:2.8.3.10, EC:4.1.3.6, GO:0005737, GO:0006084, GO:0006113, GO:0008814, GO:0008815, GO:0009346, KEGG:K01643, RefSeq:WP_000665583.1, SO:0001217, UniParc:UPI00016A0DE0, UniRef:UniRef100_M7RHK7, UniRef:UniRef50_P75726, UniRef:UniRef90_P45413
contig_1	cds	72394	72945	+	HFCAGB_00066		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	RefSeq:WP_000679053.1, SO:0001217, UniParc:UPI00016A0DE1, UniRef:UniRef100_A0A3Y2QMM8, UniRef:UniRef50_B7LWL8, UniRef:UniRef90_A0A5W6ZH75
contig_1	cds	72923	73831	+	HFCAGB_00067	citG1	putative 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase 1	EC:2.4.2.52, GO:0005524, GO:0046917, GO:0051191, RefSeq:WP_001103238.1, SO:0001217, UniParc:UPI00000CCE24, UniRef:UniRef100_Q8ZRX9, UniRef:UniRef50_B7LWM0, UniRef:UniRef90_Q8ZRX9
contig_1	cds	74011	74832	+	HFCAGB_00068	dapB	4-hydroxy-tetrahydrodipicolinate reductase	COG:COG0289, COG:E, EC:1.17.1.8, GO:0005829, GO:0008839, GO:0009089, GO:0016726, GO:0019877, GO:0050661, GO:0051287, KEGG:K00215, RefSeq:WP_000544030.1, SO:0001217, UniParc:UPI00000599A2, UniRef:UniRef100_B5FHF8, UniRef:UniRef50_P04036, UniRef:UniRef90_P04036
contig_1	ncRNA-region	74838	74915	+			ABC transporter regulator	RFAM:RF02551, SO:0005836
contig_1	cds	75696	76844	+	HFCAGB_00069	carA	carbamoyl phosphate synthase small subunit	COG:COG0505, COG:EF, EC:6.3.5.5, GO:0004088, GO:0004359, GO:0005524, GO:0005737, GO:0005951, GO:0006207, GO:0006526, GO:0006541, GO:0044205, RefSeq:WP_000597284.1, SO:0001217, UniParc:UPI0001603EA4, UniRef:UniRef100_A0A5Z7BAX8, UniRef:UniRef50_P0A6F1, UniRef:UniRef90_P0A6F1
contig_1	cds	76863	80090	+	HFCAGB_00070	carB	carbamoyl-phosphate synthase large subunit	COG:COG0458, COG:EF, EC:6.3.4.16, EC:6.3.5.5, GO:0000166, GO:0004087, GO:0004088, GO:0005524, GO:0005737, GO:0005829, GO:0005951, GO:0006526, GO:0006541, GO:0008152, GO:0008652, GO:0016597, GO:0019856, GO:0044205, GO:0046872, RefSeq:WP_001126302.1, SO:0001217, UniParc:UPI00016A101F, UniRef:UniRef100_A0A3U7DH59, UniRef:UniRef50_P00968, UniRef:UniRef90_P00968
contig_1	cds	80364	80759	+	HFCAGB_00071		CaiF/GrlA family transcriptional regulator	RefSeq:WP_000333329.1, SO:0001217, UniParc:UPI00016A1020, UniRef:UniRef100_A0A613V6T8, UniRef:UniRef90_A0A645B7Z7
contig_1	cds	80836	81432	-	HFCAGB_00072	caiE	carnitine operon protein CaiE	GO:0009437, GO:0016740, KEGG:K08279, RefSeq:WP_000122862.1, SO:0001217, UniParc:UPI00016A1021, UniRef:UniRef100_B5FHG3, UniRef:UniRef50_P39206, UniRef:UniRef90_Q8ZRX6
contig_1	cds	81542	82327	-	HFCAGB_00073	caiD	crotonobetainyl-CoA hydratase	EC:4.2.1.149, GO:0006635, GO:0008735, GO:0009437, GO:0016836, KEGG:K08299, RefSeq:WP_000004383.1, SO:0001217, UniParc:UPI0001603EA7, UniRef:UniRef100_B5FHG4, UniRef:UniRef50_P31551, UniRef:UniRef90_Q8ZRX5
contig_1	cds	82381	83934	-	HFCAGB_00074	caiC	crotonobetaine/carnitine-CoA ligase	EC:6.2.1.48, GO:0009437, GO:0016405, GO:0016878, GO:0051108, GO:0051109, RefSeq:WP_000355802.1, SO:0001217, UniParc:UPI00016A1022, UniRef:UniRef100_B5FHG5, UniRef:UniRef50_P31552, UniRef:UniRef90_Q8Z9L4
contig_1	cds	83997	85214	-	HFCAGB_00075	caiB	L-carnitine CoA-transferase	COG:COG1804, COG:I, EC:2.8.3.21, GO:0005737, GO:0008735, GO:0009437, GO:0016782, KEGG:K08298, RefSeq:WP_001016212.1, SO:0001217, UniParc:UPI0000126E0F, UniRef:UniRef100_Q8ZRX3, UniRef:UniRef50_P31572, UniRef:UniRef90_P31572
contig_1	cds	85326	86468	-	HFCAGB_00076	caiA	crotonobetainyl-CoA dehydrogenase	COG:COG1960, COG:I, EC:1.3.8.13, GO:0003995, GO:0005737, GO:0009437, GO:0016627, GO:0033539, GO:0050660, RefSeq:WP_000347134.1, SO:0001217, UniParc:UPI0000126E0A, UniRef:UniRef100_Q8ZRX2, UniRef:UniRef50_P60584, UniRef:UniRef90_P60584
contig_1	cds	86503	88020	-	HFCAGB_00077	caiT	L-carnitine/gamma-butyrobetaine antiporter	COG:COG1292, COG:M, GO:0005886, GO:0009437, GO:0044667, GO:1900751, KEGG:K05245, RefSeq:WP_000787073.1, SO:0001217, UniParc:UPI0000126E21, UniRef:UniRef100_Q8ZRX1, UniRef:UniRef50_P31553, UniRef:UniRef90_P31553
contig_1	cds	88501	89271	+	HFCAGB_00078	fixA	Protein FixA	GO:0009055, GO:0009437, KEGG:K03521, RefSeq:WP_000692191.1, SO:0001217, UniParc:UPI00016A1024, UniRef:UniRef100_B5FHH0, UniRef:UniRef50_P60566, UniRef:UniRef90_Q8ZRX0
contig_1	cds	89287	90228	+	HFCAGB_00079		electron transfer flavoprotein subunit alpha/FixB family protein	RefSeq:WP_001032203.1, SO:0001217, UniParc:UPI00016A1025, UniRef:UniRef100_A0A3Y2QMK3, UniRef:UniRef50_P31574, UniRef:UniRef90_A0A0R9NA63
contig_1	cds	90278	91564	+	HFCAGB_00080	fixX	ferredoxin-like protein FixX	EC:1.5.5.-, GO:0005506, GO:0051539, KEGG:K00313, RefSeq:WP_001287768.1, SO:0001217, UniParc:UPI00016A1026, UniRef:UniRef100_A0A3R0PFL1, UniRef:UniRef50_P68646, UniRef:UniRef90_Q8ZRW9
contig_1	cds	91561	91848	+	HFCAGB_00081	fixX	ferredoxin-like protein FixX	EC:1.5.5.-, GO:0005506, GO:0051539, KEGG:K00313, RefSeq:WP_000203736.1, SO:0001217, UniParc:UPI00000CCE29, UniRef:UniRef100_Q8ZRW8, UniRef:UniRef50_P68646, UniRef:UniRef90_Q8ZRW9
contig_1	ncRNA	91873	91955	-	HFCAGB_00082	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_1	cds	91995	93335	+	HFCAGB_00083	uhpC	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2271, COG:G, RefSeq:WP_001674927.1, SO:0001217, UniParc:UPI00016A1027, UniRef:UniRef100_M7REZ0, UniRef:UniRef50_P31679, UniRef:UniRef90_A9MQG9
contig_1	cds	93424	93654	+	HFCAGB_00084		Outer membrane lipoprotein	RefSeq:WP_001172089.1, SO:0001217, UniParc:UPI00000599B1, UniRef:UniRef100_Q7CR89, UniRef:UniRef50_H2IYQ1, UniRef:UniRef90_A0A379V1B3
