#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_67	23613	23726	+	OEKLIE_00589	4.2	6.5		SO:0001217, UniParc:UPI0001812ADC, UniRef:UniRef100_A0A484WV28, UniRef:UniRef50_A0A484WV28, UniRef:UniRef90_A0A484WV28
contig_68	679	972	+	OEKLIE_00597	11.1	6.3		SO:0001217, UniRef:UniRef50_A0A4U9D9K3, UniRef:UniRef90_A0A447NXY4
contig_69	477	986	+	OEKLIE_00621	20.1	10.3		SO:0001217, UniRef:UniRef50_A0A655DV29, UniRef:UniRef90_A0A655DV29
contig_79	25	501	+	OEKLIE_01026	18.4	11.4		
contig_80	140	646	+	OEKLIE_01080	19.7	11.8		SO:0001217, UniRef:UniRef50_A0A655EA32, UniRef:UniRef90_A0A655EA32
contig_80	1190	1768	+	OEKLIE_01081	21.7	7.9		SO:0001217, UniRef:UniRef50_A0A377C3Z1, UniRef:UniRef90_A0A655CRS5
contig_81	40794	40985	-	OEKLIE_01182	6.6	4.1		SO:0001217, UniParc:UPI0005D7A2F8, UniRef:UniRef100_A0A4Z0L2K4, UniRef:UniRef50_A0A659S1Q6, UniRef:UniRef90_A0A659S1Q6
contig_82	49385	49609	+	OEKLIE_01245	8.4	4.5		RefSeq:WP_000528430.1, SO:0001217, UniParc:UPI00016A06C1, UniRef:UniRef100_A0A724S397, UniRef:UniRef50_G5NAS5, UniRef:UniRef90_A0A603BX06
contig_83	41426	41569	-	OEKLIE_01289	5.3	9.2		SO:0001217, UniParc:UPI00017F780E, UniRef:UniRef100_A0A8D5DXP7, UniRef:UniRef50_A0A8D5DXP7, UniRef:UniRef90_A0A8D5DXP7
contig_85	32824	32946	-	OEKLIE_01390	4.6	6.7		RefSeq:WP_001713164.1, SO:0001217, UniParc:UPI00016C138F, UniRef:UniRef100_A0A5U7IQZ6, UniRef:UniRef50_A0A5U7IQZ6, UniRef:UniRef90_A0A5U7IQZ6
contig_85	33547	33705	+	OEKLIE_01391	5.7	9.7		SO:0001217, UniParc:UPI000169F439, UniRef:UniRef100_A0A455S6H5, UniRef:UniRef50_A0A447JJD1, UniRef:UniRef90_A0A447JJD1
contig_87	217	441	+	OEKLIE_01479	8.7	9.6		SO:0001217, UniRef:UniRef50_G5QY66, UniRef:UniRef90_G5QY66
contig_88	266	409	-	OEKLIE_01563	5.3	4.5		SO:0001217, UniRef:UniRef50_A9MMN7, UniRef:UniRef90_G5NBK1
contig_88	49736	49885	-	OEKLIE_01627	5.5	6.0		SO:0001217, UniParc:UPI00016A0398, UniRef:UniRef100_A0A707T441, UniRef:UniRef50_A0A707T441, UniRef:UniRef90_A0A707T441
contig_91	26198	26335	-	OEKLIE_01806	5.9	8.2		SO:0001217, UniParc:UPI0005D79AF1, UniRef:UniRef100_A0A8D5IF77, UniRef:UniRef50_A0A8D5IF77, UniRef:UniRef90_A0A8D5IF77
contig_91	27940	28098	+	OEKLIE_01811	6.0	9.2		SO:0001217, UniParc:UPI00017A8B92, UniRef:UniRef100_A0A8D4YI65, UniRef:UniRef50_A0A379NPS0, UniRef:UniRef90_A0A379VW97
contig_94	49948	50043	+	OEKLIE_02051	3.7	6.0		SO:0001217, UniParc:UPI00024F1C1E, UniRef:UniRef100_A0A455S3T8, UniRef:UniRef50_A0A3S4H9S7, UniRef:UniRef90_A0A3S4H9S7
contig_95	26	436	+	OEKLIE_02074	15.5	11.4		
contig_95	68285	68410	+	OEKLIE_02133	4.6	9.0		SO:0001217, UniParc:UPI00016A216E, UniRef:UniRef100_A0A455RYG7, UniRef:UniRef50_A0A0N1QZN9, UniRef:UniRef90_A0A0N1QZN9
contig_95	74927	76012	+	OEKLIE_02141	37.6	9.5		
contig_96	24842	24994	-	OEKLIE_02173	5.9	9.7		SO:0001217, UniParc:UPI000169E9A2, UniRef:UniRef100_A0A455SD02, UniRef:UniRef50_B5F5Z7, UniRef:UniRef90_A0A6C8GNM8
contig_96	39737	39946	-	OEKLIE_02190	7.5	8.8		SO:0001217, UniParc:UPI00017C102B, UniRef:UniRef100_A0A8D4ZJ46, UniRef:UniRef50_A0A5Y3XFJ2, UniRef:UniRef90_A0A5U9UAM4
contig_97	54306	54401	-	OEKLIE_02275	3.5	5.9		SO:0001217, UniParc:UPI00016040E5, UniRef:UniRef100_A0A455RUE4, UniRef:UniRef50_A0A3S4GLI1, UniRef:UniRef90_A0A379W8A9
contig_98	447	704	+	OEKLIE_02304	9.9	12.0		SO:0001217, UniRef:UniRef50_A0A655ENY0, UniRef:UniRef90_A0A655ENY0
contig_98	4771	4950	+	OEKLIE_02310	6.5	10.6		SO:0001217, UniParc:UPI000408BED3, UniRef:UniRef100_A0A4Z0LFH4, UniRef:UniRef50_A0A4Z0LFH4, UniRef:UniRef90_A0A4Z0LFH4
contig_99	16991	17092	-	OEKLIE_02412	3.7	4.4		SO:0001217, UniParc:UPI0005D83C6C, UniRef:UniRef100_A0A8D4ZS80, UniRef:UniRef50_A0A8D4ZS80, UniRef:UniRef90_A0A8D4ZS80
contig_100	70396	70530	-	OEKLIE_02547	4.8	10.0		SO:0001217, UniParc:UPI000425F425, UniRef:UniRef100_A0A8D5DN88, UniRef:UniRef50_A0A379WNS4, UniRef:UniRef50_A0A447JDP4, UniRef:UniRef90_A0A379WNS4, UniRef:UniRef90_A0A5H7IL20
contig_100	78205	78510	-	OEKLIE_02554	11.2	9.8		
contig_104	2774	2902	+	OEKLIE_02917	5.1	6.7		SO:0001217, UniParc:UPI0001604056, UniRef:UniRef100_A0A8D5DVH7, UniRef:UniRef50_M7S6C2, UniRef:UniRef90_A0A8D5DVH7
contig_104	25920	26135	-	OEKLIE_02942	8.5	8.5		SO:0001217, UniParc:UPI000169EDA3, UniRef:UniRef100_A0A3U8IRP6, UniRef:UniRef50_A0A4Z0P2U0, UniRef:UniRef90_A0A4Z0P2U0
contig_104	86527	86730	+	OEKLIE_03012	7.9	9.2		RefSeq:WP_000787622.1, SO:0001217, UniParc:UPI00016A06A0, UniRef:UniRef100_A0A719CTS5, UniRef:UniRef50_V7IU88, UniRef:UniRef90_A0A4Z8YTD0
contig_106	77611	78018	-	OEKLIE_03265	15.0	6.3		RefSeq:WP_023171836.1, SO:0001217, UniParc:UPI00016A0522, UniRef:UniRef100_A0A5V9TT44, UniRef:UniRef50_A0A447N0G8, UniRef:UniRef90_A0A5V9TT44
contig_108	26517	26831	-	OEKLIE_03498	12.1	8.7		SO:0001217, UniParc:UPI00016A2162, UniRef:UniRef100_A0A3T3EQM6, UniRef:UniRef50_A0A3U8EHJ2, UniRef:UniRef90_A0A3U8EHJ2
contig_108	29571	29750	-	OEKLIE_03501	6.8	6.8		SO:0001217, UniParc:UPI00016A2163, UniRef:UniRef100_A0A719DB58, UniRef:UniRef50_A0A5V6ND51, UniRef:UniRef90_A0A5V6ND51
contig_108	121089	121196	-	OEKLIE_03583	4.1	9.7		SO:0001217, UniParc:UPI0005D84673, UniRef:UniRef100_A0A455RY24, UniRef:UniRef50_A0A0J1LPK6, UniRef:UniRef90_A0A3S4G6C7
contig_109	211208	211315	-	OEKLIE_03841	4.2	9.3		SO:0001217, UniParc:UPI0001603F93, UniRef:UniRef100_A0A5Y0MR90, UniRef:UniRef50_A0A447TZS5, UniRef:UniRef50_A0A5Y0MR90, UniRef:UniRef90_A0A447TZS5, UniRef:UniRef90_A0A5Y0MR90
contig_110	72935	73060	+	OEKLIE_03917	4.6	11.0		SO:0001217, UniParc:UPI00016A00C2, UniRef:UniRef100_A0A455S0S9, UniRef:UniRef50_A0A379T4N8, UniRef:UniRef90_A0A379T4N8
contig_111	68559	68663	+	OEKLIE_04130	3.8	6.7		SO:0001217, UniParc:UPI0001604710, UniRef:UniRef100_A0A455S8Y3, UniRef:UniRef50_V1H4Y4, UniRef:UniRef90_A0A379SBK8
contig_111	113615	113773	+	OEKLIE_04178	5.6	6.7		SO:0001217, UniParc:UPI0001604591, UniRef:UniRef100_A0A455RWW1, UniRef:UniRef50_A0A455RWW1, UniRef:UniRef90_A0A455RWW1
contig_112	189377	189604	+	OEKLIE_04484	8.2	5.9		
contig_113	149	862	+	OEKLIE_04542	26.8	11.4		
contig_113	32493	32600	+	OEKLIE_04573	4.2	5.4		SO:0001217, UniParc:UPI0003E45E31, UniRef:UniRef100_A0A8D4XY29, UniRef:UniRef50_A0A2X4TXI3, UniRef:UniRef90_A0A2X5BPJ9
