#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:950570-951538|-   -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_011149.1_869 # 950570 # 951538 # -1 # ID=1_869;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.548
NC_011149.1:3309185-3311203|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   2   3   7.4e-05     0.033   11.4   0.0     2    46   374   419   373   452 0.84 NC_011149.1_3087 # 3309185 # 3311203 # 1 # ID=1_3087;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_011149.1:3309185-3311203|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   3   3     0.099        45    1.1   0.0   135   155   496   516   494   523 0.81 NC_011149.1_3087 # 3309185 # 3311203 # 1 # ID=1_3087;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_011149.1:3539530-3542073|+ -            848 58708at91347         -            281     0.011   13.0   0.0   1   2   9.2e-05     0.042   11.1   0.0    88   173    96   184    70   198 0.84 NC_011149.1_3331 # 3539530 # 3542073 # 1 # ID=1_3331;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NC_011149.1:3539530-3542073|+ -            848 58708at91347         -            281     0.011   13.0   0.0   2   2      0.92   4.1e+02   -2.1   0.0    63   106   203   246   186   277 0.75 NC_011149.1_3331 # 3539530 # 3542073 # 1 # ID=1_3331;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NC_011149.1:2246983-2248224|+ -            414 58708at91347         -            281     0.016   12.4   2.1   1   2     0.016       7.1    3.7   0.0     4    20   126   142   123   165 0.79 NC_011149.1_2118 # 2246983 # 2248224 # 1 # ID=1_2118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
NC_011149.1:2246983-2248224|+ -            414 58708at91347         -            281     0.016   12.4   2.1   2   2   0.00082      0.37    7.9   0.6   206   280   340   409   246   410 0.82 NC_011149.1_2118 # 2246983 # 2248224 # 1 # ID=1_2118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
NC_011149.1:3999565-4001454|- -            630 58708at91347         -            281      0.02   12.1   0.4   1   2   0.00012     0.053   10.7   0.3     4    41     8    46     6    55 0.84 NC_011149.1_3736 # 3999565 # 4001454 # -1 # ID=1_3736;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:3999565-4001454|- -            630 58708at91347         -            281      0.02   12.1   0.4   2   2       2.7   1.2e+03   -3.6   0.0   243   275   362   392   334   394 0.71 NC_011149.1_3736 # 3999565 # 4001454 # -1 # ID=1_3736;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58708at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm reports/busco-results/data/00-reads/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:12 2026
# [ok]
