"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"LNHIMF_00737","persistent","Fe2+-enterobactin ABC transporter substrate-binding protein","13","13","1.0","NA","NA","","","","956","956","956.0","GEGEGB_02397","LNHIMF_00737","BEJGEH_00602","HFCAGB_00682","AJBGEP_00617","ODDLKH_01084","OEKLIE_04216","ALJMDI_00695","PAPNPA_02621","BENMGJ_04259","IKCLMC_02415","PKJKAM_03090","ONMMKP_01562"
"LNHIMF_00739","persistent","(2%2C3-dihydroxybenzoyl)adenylate synthase EntE","13","13","1.0","NA","NA","","","","1610","1610","1610.0","GEGEGB_02395","LNHIMF_00739","BEJGEH_00604","HFCAGB_00684","AJBGEP_00619","ODDLKH_01086","OEKLIE_04218","ALJMDI_00697","PAPNPA_02623","BENMGJ_04261","IKCLMC_02417","PKJKAM_03088","ONMMKP_01560"
"LNHIMF_00743","persistent","pyruvate/proton symporter CstA","13","13","1.0","NA","NA","","","","2105","2105","2105.0","GEGEGB_02391","LNHIMF_00743","BEJGEH_00608","HFCAGB_00688","AJBGEP_00623","ODDLKH_01090","OEKLIE_04222","ALJMDI_00701","PAPNPA_02627","BENMGJ_04265","IKCLMC_02421","PKJKAM_03084","ONMMKP_01556"
"LNHIMF_00745","persistent","oxidoreductase","13","14","1.08","NA","NA","","","","398","1088","1006.36","GEGEGB_02389","LNHIMF_00745","BEJGEH_00610","HFCAGB_00691" "HFCAGB_00690","AJBGEP_00625","ODDLKH_01092","OEKLIE_04224","ALJMDI_00703","PAPNPA_02629","BENMGJ_04267","IKCLMC_02423","PKJKAM_03082","ONMMKP_01554"
"LNHIMF_00746","persistent","Aminotransferase","13","13","1.0","NA","NA","","","","1160","1160","1160.0","GEGEGB_02388","LNHIMF_00746","BEJGEH_00611","HFCAGB_00692","AJBGEP_00626","ODDLKH_01093","OEKLIE_04225","ALJMDI_00704","PAPNPA_02630","BENMGJ_04268","IKCLMC_02424","PKJKAM_03081","ONMMKP_01553"
"LNHIMF_00748","persistent","Phosphoadenosine phosphosulphate reductase domain-containing protein","13","13","1.0","NA","NA","","","","1235","1235","1235.0","GEGEGB_02386","LNHIMF_00748","BEJGEH_00613","HFCAGB_00694","AJBGEP_00628","ODDLKH_01095","OEKLIE_04227","ALJMDI_00706","PAPNPA_02632","BENMGJ_04270","IKCLMC_02426","PKJKAM_03079","ONMMKP_01551"
"LNHIMF_00749","persistent","DNA-binding transcriptional repressor CitR","13","13","1.0","NA","NA","","","","902","917","903.38","GEGEGB_02385","LNHIMF_00749","BEJGEH_00614","HFCAGB_00695","AJBGEP_00629","ODDLKH_01096","OEKLIE_04228","ALJMDI_00707","PAPNPA_02633","BENMGJ_04271","IKCLMC_02427","PKJKAM_03078","ONMMKP_01550"
"LNHIMF_00750","persistent","thiol:disulfide interchange protein DsbG","13","13","1.0","NA","NA","","","","746","746","746.0","GEGEGB_02384","LNHIMF_00750","BEJGEH_00615","HFCAGB_00696","AJBGEP_00630","ODDLKH_01097","OEKLIE_04229","ALJMDI_00708","PAPNPA_02634","BENMGJ_04272","IKCLMC_02428","PKJKAM_03077","ONMMKP_01549"
"LNHIMF_00753","persistent","Alkyl hydroperoxide reductase subunit F","13","13","1.0","NA","NA","","","","1565","1565","1565.0","GEGEGB_02381","LNHIMF_00753","BEJGEH_00618","HFCAGB_00699","AJBGEP_00633","ODDLKH_01100","OEKLIE_04232","ALJMDI_00711","PAPNPA_02637","BENMGJ_04275","IKCLMC_02431","PKJKAM_03074","ONMMKP_01546"
"LNHIMF_00755","persistent","DMSO reductase","13","14","1.08","NA","NA","","","","356","2279","2117.86","GEGEGB_02377","LNHIMF_00755","BEJGEH_00620","HFCAGB_00701" "HFCAGB_00702","AJBGEP_00635","ODDLKH_01102","OEKLIE_04234","ALJMDI_00713","PAPNPA_02639","BENMGJ_04277","IKCLMC_02433","PKJKAM_03072","ONMMKP_01544"
"LNHIMF_00756","persistent","4Fe-4S ferredoxin-type domain-containing protein","11","11","1.0","NA","NA","","","","557","557","557.0","GEGEGB_02376","LNHIMF_00756","BEJGEH_00621","HFCAGB_00703","","ODDLKH_01103","","ALJMDI_00714","PAPNPA_02640","BENMGJ_04278","IKCLMC_02434","PKJKAM_03071","ONMMKP_01543"
"LNHIMF_00759","persistent","Uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR","13","13","1.0","NA","NA","","","","1238","1238","1238.0","GEGEGB_02373","LNHIMF_00759","BEJGEH_00624","HFCAGB_00706","AJBGEP_00639","ODDLKH_01106","OEKLIE_04238","ALJMDI_00717","PAPNPA_02643","BENMGJ_04281","IKCLMC_02437","PKJKAM_03068","ONMMKP_01540"
"LNHIMF_00761","persistent","ribonuclease I","13","14","1.08","NA","NA","","","","386","806","746.43","GEGEGB_02371","LNHIMF_00761","BEJGEH_00626","HFCAGB_00709" "HFCAGB_00708","AJBGEP_00641","ODDLKH_01108","OEKLIE_04240","ALJMDI_00719","PAPNPA_02645","BENMGJ_04283","IKCLMC_02439","PKJKAM_03066","ONMMKP_01538"
"LNHIMF_00762","persistent","citrate/succinate antiporter CitT","13","13","1.0","NA","NA","","","","1334","1535","1458.62","GEGEGB_02370","LNHIMF_00762","BEJGEH_00627","HFCAGB_00710","AJBGEP_00642","ODDLKH_01109","OEKLIE_04241","ALJMDI_00720","PAPNPA_02646","BENMGJ_04284","IKCLMC_02440","PKJKAM_03065","ONMMKP_01537"
"LNHIMF_00765","persistent","citrate lyase subunit alpha","13","13","1.0","NA","NA","","","","1529","1529","1529.0","GEGEGB_02367","LNHIMF_00765","BEJGEH_00630","HFCAGB_00714","AJBGEP_00645","ODDLKH_01112","OEKLIE_04244","ALJMDI_00723","PAPNPA_02649","BENMGJ_04287","IKCLMC_02443","PKJKAM_03062","ONMMKP_01534"
"LNHIMF_00766","persistent","citrate (pro-3S)-lyase subunit beta","13","13","1.0","NA","NA","","","","908","908","908.0","GEGEGB_02366","LNHIMF_00766","BEJGEH_00631","HFCAGB_00715","AJBGEP_00646","ODDLKH_01113","OEKLIE_04245","ALJMDI_00724","PAPNPA_02650","BENMGJ_04288","IKCLMC_02444","PKJKAM_03061","ONMMKP_01533"
"LNHIMF_00768","persistent","[citrate (pro-3S)-lyase] ligase","13","13","1.0","NA","NA","","","","1025","1076","1072.08","GEGEGB_02364","LNHIMF_00768","BEJGEH_00633","HFCAGB_00717","AJBGEP_00648","ODDLKH_01115","OEKLIE_04247","ALJMDI_00726","PAPNPA_02652","BENMGJ_04290","IKCLMC_02446","PKJKAM_03059","ONMMKP_01531"
"LNHIMF_00769","cloud","hypothetical protein","4","4","1.0","NA","NA","","","","98","98","98.0","","LNHIMF_00769","BEJGEH_00634","","","ODDLKH_01116","","ALJMDI_00727","","","","",""
"LNHIMF_00773","persistent","lipid IV(A) palmitoyltransferase PagP","13","13","1.0","NA","NA","","","","518","572","567.85","GEGEGB_02360","LNHIMF_00773","BEJGEH_00638","HFCAGB_00721","AJBGEP_00652","ODDLKH_01120","OEKLIE_04251","ALJMDI_00731","PAPNPA_02656","BENMGJ_04294","IKCLMC_02450","PKJKAM_03055","ONMMKP_01527"
"LNHIMF_00782","persistent","D-alanyl-D-alanine carboxypeptidase DacA","13","14","1.08","NA","NA","","","","500","1283","1128.5","GEGEGB_02351","LNHIMF_00782","BEJGEH_00647","HFCAGB_00730","AJBGEP_00661","ODDLKH_01129" "ODDLKH_01130","OEKLIE_04260","ALJMDI_00740","PAPNPA_02665","BENMGJ_04303","IKCLMC_02459","PKJKAM_00388","ONMMKP_01518"
"LNHIMF_00785","persistent","peptidoglycan DD-transpeptidase MrdA","13","14","1.08","NA","NA","","","","392","1901","1757.0","GEGEGB_02348","LNHIMF_00785","BEJGEH_00650","HFCAGB_00733","AJBGEP_00664","ODDLKH_01133","OEKLIE_04263","ALJMDI_00743","PAPNPA_02668","BENMGJ_04306","IKCLMC_02462","PKJKAM_00385" "PKJKAM_00384","ONMMKP_01515"
"LNHIMF_00789","persistent","threonine-phosphate decarboxylase CobD","13","13","1.0","NA","NA","","","","1094","1094","1094.0","GEGEGB_02344","LNHIMF_00789","BEJGEH_00654","HFCAGB_00737","AJBGEP_00668","ODDLKH_01137","OEKLIE_04267","ALJMDI_00747","PAPNPA_02672","BENMGJ_04310","IKCLMC_02466","PKJKAM_00380","ONMMKP_01511"
"LNHIMF_00790","persistent","nicotinate-nucleotide adenylyltransferase","13","13","1.0","NA","NA","","","","650","650","650.0","GEGEGB_02343","LNHIMF_00790","BEJGEH_00655","HFCAGB_00738","AJBGEP_00669","ODDLKH_01138","OEKLIE_04268","ALJMDI_00748","PAPNPA_02673","BENMGJ_04311","IKCLMC_02467","PKJKAM_00379","ONMMKP_01510"
"LNHIMF_00793","persistent","leucine--tRNA ligase","13","13","1.0","NA","NA","","","","2582","2582","2582.0","GEGEGB_02340","LNHIMF_00793","BEJGEH_00658","HFCAGB_00741","AJBGEP_00672","ODDLKH_01141","OEKLIE_04271","ALJMDI_00751","PAPNPA_02676","BENMGJ_04314","IKCLMC_02470","PKJKAM_00376","ONMMKP_01507"
"LNHIMF_00796","persistent","2-keto-3-deoxygluconate permease 2","13","13","1.0","NA","NA","","","","953","953","953.0","GEGEGB_02337","LNHIMF_00796","BEJGEH_00661","HFCAGB_00744","AJBGEP_00675","ODDLKH_01144","OEKLIE_04274","ALJMDI_00754","PAPNPA_02679","BENMGJ_04317","IKCLMC_02473","PKJKAM_00373","ONMMKP_01504"
"LNHIMF_00797","persistent","Propionate catabolism operon regulatory protein PrpR","13","15","1.15","NA","NA","","","","569","1928","1668.0","GEGEGB_02336","LNHIMF_00797","BEJGEH_00662","HFCAGB_00746" "HFCAGB_00745","AJBGEP_00676","ODDLKH_01145","OEKLIE_04275","ALJMDI_00755" "ALJMDI_00756","PAPNPA_02680","BENMGJ_04318","IKCLMC_02474","PKJKAM_00372","ONMMKP_01503"
"LNHIMF_00804","persistent","Glutamate/aspartate import solute-binding protein","13","13","1.0","NA","NA","","","","908","908","908.0","GEGEGB_02328","LNHIMF_00804","BEJGEH_00676","HFCAGB_00760","AJBGEP_00690","ODDLKH_01159","OEKLIE_04289","ALJMDI_00763","PAPNPA_02694","BENMGJ_04332","IKCLMC_02488","PKJKAM_00358","ONMMKP_01489"
"LNHIMF_00805","persistent","apolipoprotein N-acyltransferase","13","13","1.0","NA","NA","","","","1589","1589","1589.0","GEGEGB_02327","LNHIMF_00805","BEJGEH_00677","HFCAGB_00761","AJBGEP_00691","ODDLKH_01160","OEKLIE_04290","ALJMDI_00764","PAPNPA_02695","BENMGJ_04333","IKCLMC_02489","PKJKAM_00357","ONMMKP_01488"
"LNHIMF_00818","shell","IS3 family transposase","9","22","2.44","NA","NA","","","","236","683","534.5","","LNHIMF_03245" "LNHIMF_00818","BEJGEH_03217" "BEJGEH_04582" "BEJGEH_03508" "BEJGEH_01031" "BEJGEH_00691" "BEJGEH_01964","","AJBGEP_00940","ODDLKH_01405","OEKLIE_02914","","PAPNPA_03309" "PAPNPA_00877" "PAPNPA_03413","","IKCLMC_03959" "IKCLMC_04263" "IKCLMC_00033","PKJKAM_03867" "PKJKAM_02694" "PKJKAM_00159","ONMMKP_01199" "ONMMKP_02687"
"LNHIMF_00819","shell","IS3 family ISSen1 transposase ORF A","9","23","2.56","NA","NA","","","","188","401","383.52","","LNHIMF_00819" "LNHIMF_03244","BEJGEH_01962" "BEJGEH_03219" "BEJGEH_01032" "BEJGEH_03510" "BEJGEH_04580" "BEJGEH_00692","","AJBGEP_00941","ODDLKH_01406","OEKLIE_02915","","PAPNPA_03415" "PAPNPA_03311" "PAPNPA_00875","","IKCLMC_00032" "IKCLMC_04265" "IKCLMC_03960","PKJKAM_03868" "PKJKAM_00160" "PKJKAM_00016" "PKJKAM_02693","ONMMKP_02688" "ONMMKP_01198"
"LNHIMF_00823","persistent","N-acetylglucosamine-6-phosphate deacetylase","13","13","1.0","NA","NA","","","","1214","1214","1214.0","GEGEGB_02312","LNHIMF_00823","BEJGEH_00696","HFCAGB_00778","AJBGEP_00708","ODDLKH_01177","OEKLIE_02077","ALJMDI_00780","PAPNPA_03176","BENMGJ_04351","IKCLMC_00448","PKJKAM_00342","ONMMKP_01473"
"LNHIMF_00825","persistent","PTS N-acetyl glucosamine transporter subunit IIABC","13","13","1.0","NA","NA","","","","1952","1952","1952.0","GEGEGB_02310","LNHIMF_00825","BEJGEH_00698","HFCAGB_00780","AJBGEP_00710","ODDLKH_01179","OEKLIE_02079","ALJMDI_00782","PAPNPA_03178","BENMGJ_04353","IKCLMC_00446","PKJKAM_00340","ONMMKP_01471"
