#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000008.1:59746-61077|+   -            444 22118at91347         -            397  1.7e-234  776.0   8.1   1   1  1.1e-235  7.2e-233  770.7   8.1     1   397     1   443     1   443 0.96 NZ_ABFG01000008.1_45 # 59746 # 61077 # 1 # ID=43_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABFG01000010.1:54680-56956|-   -            759 22118at91347         -            397   3.8e-06   24.1   0.4   3   4       1.4   8.9e+02   -3.4   0.0   197   219   383   405   352   407 0.77 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABFG01000010.1:54680-56956|-   -            759 22118at91347         -            397   3.8e-06   24.1   0.4   4   4   3.3e-06    0.0021   15.1   0.0    11    82   457   526   452   536 0.78 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABFG01000002.1:408017-408538|+ -            174 22118at91347         -            397   0.00054   17.0   0.2   1   1     1e-06   0.00067   16.7   0.2    45   175     5   147     2   171 0.64 NZ_ABFG01000002.1_358 # 408017 # 408538 # 1 # ID=49_358;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABFG01000009.1:28790-29740|-   -            317 22118at91347         -            397     0.036   11.0   0.0   1   1   9.2e-05     0.059   10.3   0.0    43    77     9    43     1    55 0.88 NZ_ABFG01000009.1_36 # 28790 # 29740 # -1 # ID=42_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/22118at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm reports/busco-results/data/00-reads/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:28 2026
# [ok]
