"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"yegD","","molecular chaperone","13","13","1","52","1274","","","","773","1352","1273","GEGEGB_00794","LNHIMF_02272","BEJGEH_02146","HFCAGB_02390","AJBGEP_02289","ODDLKH_02623","OEKLIE_03755","ALJMDI_01874","PAPNPA_04246","BENMGJ_02487","IKCLMC_01876","PKJKAM_04009","ONMMKP_04724"
"mog","","molybdopterin adenylyltransferase","13","13","1","52","599","","","","590","590","590","GEGEGB_00008","LNHIMF_00008","BEJGEH_00008","HFCAGB_00008","AJBGEP_00008","ODDLKH_00484","OEKLIE_04594","ALJMDI_04032","PAPNPA_03499","BENMGJ_00719","IKCLMC_03201","PKJKAM_02098","ONMMKP_02173"
"Glycoside hydrolase family 108 protein","","Glycoside hydrolase family 108 protein","13","13","1","52","590","","","","533","533","533","GEGEGB_00017","LNHIMF_00017","BEJGEH_00018","HFCAGB_00018","AJBGEP_00017","ODDLKH_00493","OEKLIE_04603","ALJMDI_04041","PAPNPA_03509","BENMGJ_00709","IKCLMC_03192","PKJKAM_02088","ONMMKP_02164"
"group_1187","iprA","IprA winged helix-turn-helix domain-containing protein","13","13","1","52","586","","","","695","704","702","GEGEGB_00022","LNHIMF_00021","BEJGEH_00022","HFCAGB_00022","AJBGEP_00021","ODDLKH_00497","OEKLIE_04607","ALJMDI_04045","PAPNPA_03513","BENMGJ_00705","IKCLMC_03188","PKJKAM_02084","ONMMKP_02160"
"bcfB","","fimbrial biogenesis chaperone BcfB","13","13","1","52","584","","","","686","686","686","GEGEGB_00024","LNHIMF_00023","BEJGEH_00024","HFCAGB_00024","AJBGEP_00023","ODDLKH_00499","OEKLIE_04609","ALJMDI_04047","PAPNPA_03515","BENMGJ_00703","IKCLMC_03186","PKJKAM_02082","ONMMKP_02158"
"bcfD","","fimbrial protein BcfD","13","13","1","52","581","","","","1007","1007","1007","GEGEGB_00028","LNHIMF_00025","BEJGEH_00026","HFCAGB_00026","AJBGEP_00025","ODDLKH_00501","OEKLIE_04611","ALJMDI_04049","PAPNPA_03517","BENMGJ_00701","IKCLMC_03184","PKJKAM_02080","ONMMKP_02156"
"sopF","","type III secretion system effector SopF","13","13","1","52","6427","","","","1124","1124","1124","GEGEGB_01180","LNHIMF_01282","BEJGEH_01854","HFCAGB_02058","AJBGEP_01314","ODDLKH_01713","OEKLIE_03013","ALJMDI_00542","PAPNPA_01132","BENMGJ_00820","IKCLMC_00958","PKJKAM_00509","ONMMKP_00897"
"bcfE","","fimbrial protein BcfE","13","13","1","52","579","","","","545","545","545","GEGEGB_00029","LNHIMF_00026","BEJGEH_00027","HFCAGB_00027","AJBGEP_00026","ODDLKH_00502","OEKLIE_04612","ALJMDI_04050","PAPNPA_03518","BENMGJ_00700","IKCLMC_03183","PKJKAM_02079","ONMMKP_02155"
"Transcriptional regulatory protein","","Transcriptional regulatory protein","13","13","1","52","540","","","","686","707","687","GEGEGB_00057","LNHIMF_00054","BEJGEH_00055","HFCAGB_00056","AJBGEP_00054","ODDLKH_00530","OEKLIE_04640","ALJMDI_04077","PAPNPA_03544","BENMGJ_01658","IKCLMC_03155","PKJKAM_02051","ONMMKP_02128"
"[Citrate [pro-3S]-lyase] ligase","","[Citrate [pro-3S]-lyase] ligase","13","13","1","52","533","","","","968","1043","991","GEGEGB_00063","LNHIMF_00060","BEJGEH_00061","HFCAGB_00062","AJBGEP_00060","ODDLKH_00536","OEKLIE_04647","ALJMDI_04083","PAPNPA_03550","BENMGJ_01652","IKCLMC_03149","PKJKAM_02045","ONMMKP_02122"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","13","13","1","52","527","","","","821","821","821","GEGEGB_00069","LNHIMF_00066","BEJGEH_00067","HFCAGB_00068","AJBGEP_00066","ODDLKH_00542","OEKLIE_04653","ALJMDI_04089","PAPNPA_03556","BENMGJ_01646","IKCLMC_03143","PKJKAM_02039","ONMMKP_02116"
"carA","","carbamoyl phosphate synthase small subunit","13","13","1","52","525","","","","1148","1148","1148","GEGEGB_00070","LNHIMF_00068","BEJGEH_00069","HFCAGB_00069","AJBGEP_00068","ODDLKH_00544","OEKLIE_04655","ALJMDI_04091","PAPNPA_03558","BENMGJ_01645","IKCLMC_03142","PKJKAM_02037","ONMMKP_02115"
"fixB","","electron transfer flavoprotein subunit alpha/FixB family protein","13","13","1","52","515","","","","941","941","941","GEGEGB_00080","LNHIMF_00078","BEJGEH_00079","HFCAGB_00079","AJBGEP_00080","ODDLKH_00554","OEKLIE_04665","ALJMDI_04101","PAPNPA_03568","BENMGJ_01635","IKCLMC_03132","PKJKAM_02027","ONMMKP_02105"
"Exo-alpha-sialidase","","Exo-alpha-sialidase","13","13","1","52","3367","","","","782","1043","1022","GEGEGB_01197","LNHIMF_01299","BEJGEH_01838","HFCAGB_02043","AJBGEP_01328","ODDLKH_01727","OEKLIE_02999","ALJMDI_00559","PAPNPA_01147","BENMGJ_00834","IKCLMC_00972","PKJKAM_00495","ONMMKP_00883"
"kefF","","glutathione-regulated potassium-efflux system oxidoreductase KefF","13","13","1","52","504","","","","530","530","530","GEGEGB_00092","LNHIMF_00088","BEJGEH_00089","HFCAGB_00085","AJBGEP_00090","ODDLKH_00564","OEKLIE_04676","ALJMDI_04111","PAPNPA_03577","BENMGJ_01625","IKCLMC_03121","PKJKAM_02018","ONMMKP_02095"
"djlA","","co-chaperone DjlA","13","13","1","52","495","","","","812","920","820","GEGEGB_00101","LNHIMF_00097","BEJGEH_00098","HFCAGB_00094","AJBGEP_00099","ODDLKH_00573","OEKLIE_04685","ALJMDI_04120","PAPNPA_03586","BENMGJ_01616","IKCLMC_03112","PKJKAM_02008","ONMMKP_02086"
"polB","","DNA polymerase II","13","13","1","52","492","","","","2306","2351","2347","GEGEGB_00104","LNHIMF_00100","BEJGEH_00101","HFCAGB_00097","AJBGEP_00102","ODDLKH_00576","OEKLIE_04688","ALJMDI_04123","PAPNPA_03589","BENMGJ_01613","IKCLMC_03109","PKJKAM_02005","ONMMKP_02083"
"araD","","L-ribulose-5-phosphate 4-epimerase","13","13","1","52","489","","","","695","695","695","GEGEGB_00110","LNHIMF_00103","BEJGEH_00107","HFCAGB_00101","AJBGEP_00105","ODDLKH_00579","OEKLIE_04691","ALJMDI_04128","PAPNPA_03592","BENMGJ_01610","IKCLMC_03106","PKJKAM_02002","ONMMKP_02080"
"thiQ","","thiamine ABC transporter ATP-binding protein ThiQ","13","13","1","52","483","","","","707","707","707","GEGEGB_00115","LNHIMF_00108","BEJGEH_00112","HFCAGB_00106","AJBGEP_00110","ODDLKH_00584","OEKLIE_04696","ALJMDI_04133","PAPNPA_03597","BENMGJ_01605","IKCLMC_03101","PKJKAM_01997","ONMMKP_02075"
"sgrT","","Glucose uptake inhibitor SgrT","13","13","1","52","479","","","","122","122","122","GEGEGB_00120","LNHIMF_00113","BEJGEH_00117","HFCAGB_00111","AJBGEP_00115","ODDLKH_00589","OEKLIE_04701","ALJMDI_04138","PAPNPA_03602","BENMGJ_01601","IKCLMC_03097","PKJKAM_01993","ONMMKP_02071"
"leuL","","leu operon leader peptide","13","13","1","52","473","","","","86","86","86","GEGEGB_00125","LNHIMF_00118","BEJGEH_00122","HFCAGB_00117","AJBGEP_00120","ODDLKH_00594","OEKLIE_04706","ALJMDI_04143","PAPNPA_03607","BENMGJ_01595","IKCLMC_03090","PKJKAM_01987","ONMMKP_02064"
"ilvN","","acetolactate synthase small subunit","13","13","1","52","470","","","","494","509","495","GEGEGB_00128","LNHIMF_00121","BEJGEH_00125","HFCAGB_00120","AJBGEP_00123","ODDLKH_00597","OEKLIE_04709","ALJMDI_04146","PAPNPA_03610","BENMGJ_01592","IKCLMC_03087","PKJKAM_01984","ONMMKP_02061"
"ftsZ","","cell division protein FtsZ","13","13","1","52","454","","","","863","1151","1128","GEGEGB_00145","LNHIMF_00138","BEJGEH_00142","HFCAGB_00137","AJBGEP_00140","ODDLKH_00614","OEKLIE_04726","ALJMDI_04163","PAPNPA_03627","BENMGJ_01575","IKCLMC_03070","PKJKAM_00787","ONMMKP_02044"
"hofC","","protein transport protein HofC","13","13","1","52","442","","","","1202","1202","1202","GEGEGB_00157","LNHIMF_00148","BEJGEH_00154","HFCAGB_00149","AJBGEP_00150","ODDLKH_00624","OEKLIE_04736","ALJMDI_04174","PAPNPA_03639","BENMGJ_01565","IKCLMC_03060","PKJKAM_00776","ONMMKP_02032"
"group_1211","Glycosyl hydrolase","Glycosyl hydrolase","13","13","1","52","436","","","","950","950","950","GEGEGB_00163","LNHIMF_00154","BEJGEH_00160","HFCAGB_00155","AJBGEP_00156","ODDLKH_00630","OEKLIE_04742","ALJMDI_04180","PAPNPA_03645","BENMGJ_01559","IKCLMC_03054","PKJKAM_00770","ONMMKP_02026"
"yacL","","protein YacL","13","13","1","52","424","","","","362","362","362","GEGEGB_00176","LNHIMF_00167","BEJGEH_00180","HFCAGB_00170","AJBGEP_00171","ODDLKH_00644","OEKLIE_04757","ALJMDI_04193","PAPNPA_03665","BENMGJ_01539","IKCLMC_03039","PKJKAM_00755","ONMMKP_02011"
"panC","","pantoate--beta-alanine ligase","13","13","1","52","4704","","","","854","854","854","GEGEGB_00193","LNHIMF_00188","BEJGEH_00201","HFCAGB_00191","AJBGEP_00192","ODDLKH_00665","OEKLIE_04778","ALJMDI_04214","PAPNPA_03693","BENMGJ_01510","IKCLMC_03018","PKJKAM_00727","ONMMKP_01983"
"btuF","","vitamin B12 ABC transporter substrate-binding protein BtuF","13","13","1","52","4753","","","","800","800","800","GEGEGB_00219","LNHIMF_00213","BEJGEH_00228","HFCAGB_00217","AJBGEP_00218","ODDLKH_00691","OEKLIE_04804","ALJMDI_04239","PAPNPA_03718","BENMGJ_00218","IKCLMC_02992","PKJKAM_00701","ONMMKP_01958"
"ispU","","(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase","13","13","1","52","4770","","","","689","758","715","GEGEGB_00237","LNHIMF_00231","BEJGEH_00245","HFCAGB_00235","AJBGEP_00235","ODDLKH_00708","OEKLIE_04821","ALJMDI_04257","PAPNPA_03735","BENMGJ_00267","IKCLMC_02975","PKJKAM_00684","ONMMKP_01941"
"lpxD","","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","13","13","1","52","4775","","","","263","1025","966","GEGEGB_00242","LNHIMF_00236","BEJGEH_00250","HFCAGB_00240","AJBGEP_00240","ODDLKH_00713","OEKLIE_04826","ALJMDI_04262","PAPNPA_03740","BENMGJ_00272","IKCLMC_02970","PKJKAM_00143","ONMMKP_01936"
"arfB","","alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB","13","13","1","52","4789","","","","422","422","422","GEGEGB_00259","LNHIMF_00251","BEJGEH_00264","HFCAGB_00254","AJBGEP_00254","ODDLKH_00727","OEKLIE_04840","ALJMDI_04276","PAPNPA_03754","BENMGJ_00286","IKCLMC_02956","PKJKAM_00157","ONMMKP_01921"
"nlpE","","envelope stress response activation lipoprotein NlpE","13","13","1","52","4831","","","","701","719","702","GEGEGB_00260","LNHIMF_00252","BEJGEH_00265","HFCAGB_00255","AJBGEP_00255","ODDLKH_00728","OEKLIE_04841","ALJMDI_04277","PAPNPA_03755","BENMGJ_00287","IKCLMC_02955","PKJKAM_00158","ONMMKP_01920"
"aac(6')","","cryptic aminoglycoside N-acetyltransferase AAC(6')-Iy/Iaa","13","13","1","52","6079","","","","437","518","443","GEGEGB_01614","LNHIMF_01680","BEJGEH_01457","HFCAGB_01666","AJBGEP_01706","ODDLKH_02106","OEKLIE_02256","ALJMDI_03441","PAPNPA_03970","BENMGJ_03515","IKCLMC_04553","PKJKAM_04565","ONMMKP_00427"
"tapT","","tRNA-uridine aminocarboxypropyltransferase","13","13","1","52","4504","","","","680","680","680","GEGEGB_00282","LNHIMF_02739","BEJGEH_02637","HFCAGB_02882","AJBGEP_02849","ODDLKH_03111","OEKLIE_00483","ALJMDI_01526","PAPNPA_02218","BENMGJ_00189","IKCLMC_00104","PKJKAM_02660","ONMMKP_04237"
"tRNA/rRNA methyltransferase","","tRNA/rRNA methyltransferase","13","13","1","52","4506","","","","824","1037","1020","GEGEGB_00284","LNHIMF_02737","BEJGEH_02635","HFCAGB_02880","AJBGEP_02847","ODDLKH_03109","OEKLIE_00481","ALJMDI_01528","PAPNPA_02216","BENMGJ_00191","IKCLMC_00102","PKJKAM_02662","ONMMKP_04239"
"group_1222","lysR","LysR family transcriptional regulator","13","13","1","52","4510","","","","752","899","887","GEGEGB_00288","LNHIMF_02733","BEJGEH_02631","HFCAGB_02876","AJBGEP_02843","ODDLKH_03105","OEKLIE_00477","ALJMDI_01532","PAPNPA_02212","BENMGJ_00195","IKCLMC_00098","PKJKAM_02666","ONMMKP_04243"
"trmN","","tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN","13","13","1","52","4512","","","","737","737","737","GEGEGB_00290","LNHIMF_02731","BEJGEH_02629","HFCAGB_02874","AJBGEP_02841","ODDLKH_03103","OEKLIE_00475","ALJMDI_01534","PAPNPA_02210","BENMGJ_00197","IKCLMC_00096","PKJKAM_02668","ONMMKP_04245"
"era","","GTPase Era","13","13","1","52","4522","","","","470","905","871","GEGEGB_00300","LNHIMF_02721","BEJGEH_02619","HFCAGB_02864","AJBGEP_02761","ODDLKH_03093","OEKLIE_02356","ALJMDI_01570","PAPNPA_02200","BENMGJ_01831","IKCLMC_01196","PKJKAM_02678","ONMMKP_04255"
"mltF","","membrane-bound lytic murein transglycosylase MltF","13","13","1","52","4535","","","","1427","1544","1535","GEGEGB_00313","LNHIMF_02708","BEJGEH_02606","HFCAGB_02851","AJBGEP_02748","ODDLKH_03080","OEKLIE_02343","ALJMDI_01583","PAPNPA_02187","BENMGJ_01818","IKCLMC_01209","PKJKAM_02691","ONMMKP_04268"
"qseG","","two-component system QseEF-associated lipoprotein QseG","13","13","1","52","4596","","","","686","764","740","GEGEGB_00318","LNHIMF_02703","BEJGEH_02601","HFCAGB_02846","AJBGEP_02743","ODDLKH_03075","OEKLIE_02338","ALJMDI_01588","PAPNPA_02182","BENMGJ_01813","IKCLMC_01214","PKJKAM_02698","ONMMKP_04273"
"Nickel/cobalt efflux system","","Nickel/cobalt efflux system","13","13","1","52","4584","","","","707","986","964","GEGEGB_00331","LNHIMF_02691","BEJGEH_02586","HFCAGB_02834","AJBGEP_02731","ODDLKH_03063","OEKLIE_02326","ALJMDI_01600","PAPNPA_02170","BENMGJ_01801","IKCLMC_01226","PKJKAM_02710","ONMMKP_04285"
"group_1229","hypothetical protein","hypothetical protein","13","13","1","52","4568","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","176","179","178","GEGEGB_00347","LNHIMF_02675","BEJGEH_02570","HFCAGB_02818","AJBGEP_02715","ODDLKH_03047","OEKLIE_02310","ALJMDI_01616","PAPNPA_02154","BENMGJ_01785","IKCLMC_01242","PKJKAM_02726","ONMMKP_04301"
"Winged helix-turn-helix domain-containing protein","","Winged helix-turn-helix domain-containing protein","13","13","1","52","5231","","","","449","1232","1171","GEGEGB_02057","LNHIMF_01075","BEJGEH_00943","HFCAGB_01031","AJBGEP_00978","ODDLKH_01443","OEKLIE_00396","ALJMDI_01286","PAPNPA_00881","BENMGJ_01202","IKCLMC_01551","PKJKAM_00945","ONMMKP_01161"
"Polyferredoxin","","Polyferredoxin","13","13","1","52","4556","","","","863","863","863","GEGEGB_00359","LNHIMF_02666","BEJGEH_02559","HFCAGB_02806","AJBGEP_02704","ODDLKH_03036","OEKLIE_03172","ALJMDI_01627","PAPNPA_02143","BENMGJ_01774","IKCLMC_01253","PKJKAM_02737","ONMMKP_04312"
"rodZ","","cytoskeleton protein RodZ","13","13","1","52","4553","","","","974","1004","1000","GEGEGB_00362","LNHIMF_02663","BEJGEH_02556","HFCAGB_02803","AJBGEP_02701","ODDLKH_03033","OEKLIE_03169","ALJMDI_01630","PAPNPA_02140","BENMGJ_01771","IKCLMC_01256","PKJKAM_02740","ONMMKP_04315"
"hisS","","histidine--tRNA ligase","13","13","1","52","4551","","","","1274","1337","1278","GEGEGB_00365","LNHIMF_02660","BEJGEH_02553","HFCAGB_02800","AJBGEP_02698","ODDLKH_03030","OEKLIE_03166","ALJMDI_01633","PAPNPA_02137","BENMGJ_01768","IKCLMC_01259","PKJKAM_02743","ONMMKP_04318"
"guaB","","IMP dehydrogenase","13","13","1","52","1481","","","","1466","1571","1474","GEGEGB_00381","LNHIMF_02648","BEJGEH_02542","HFCAGB_02787","AJBGEP_02686","ODDLKH_03019","OEKLIE_03154","ALJMDI_01644","PAPNPA_02126","BENMGJ_01757","IKCLMC_01270","PKJKAM_02755","ONMMKP_04330"
"DUF2633 domain-containing protein","","DUF2633 domain-containing protein","13","13","1","52","2393","","","","173","191","185","GEGEGB_00386","LNHIMF_02644","BEJGEH_02536","HFCAGB_02781","AJBGEP_02682","ODDLKH_03015","OEKLIE_03150","ALJMDI_01653","PAPNPA_02104","BENMGJ_01753","IKCLMC_01274","PKJKAM_02760","ONMMKP_04335"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","13","13","1","52","2398","","","","1037","1157","1083","GEGEGB_00391","LNHIMF_02639","BEJGEH_02531","HFCAGB_02776","AJBGEP_02677","ODDLKH_03010","OEKLIE_03145","ALJMDI_01658","PAPNPA_02099","BENMGJ_01748","IKCLMC_01279","PKJKAM_02765","ONMMKP_04340"
"eutR","","HTH-type transcriptional regulator EutR","13","13","1","52","2447","","","","968","1052","1019","GEGEGB_00441","LNHIMF_02591","BEJGEH_02482","HFCAGB_02728","AJBGEP_02629","ODDLKH_02964","OEKLIE_03097","ALJMDI_01706","PAPNPA_02051","BENMGJ_01702","IKCLMC_01327","PKJKAM_02813","ONMMKP_04388"
"hemF","","oxygen-dependent coproporphyrinogen oxidase","13","13","1","52","2449","","","","899","899","899","GEGEGB_00444","LNHIMF_02590","BEJGEH_02479","HFCAGB_02725","AJBGEP_02626","ODDLKH_02961","OEKLIE_03094","ALJMDI_01707","PAPNPA_02049","BENMGJ_01700","IKCLMC_01329","PKJKAM_02815","ONMMKP_04390"
"DUF2919 domain-containing protein","","DUF2919 domain-containing protein","13","13","1","52","2452","","","","449","449","449","GEGEGB_00447","LNHIMF_02587","BEJGEH_02476","HFCAGB_02722","AJBGEP_02623","ODDLKH_02958","OEKLIE_03091","ALJMDI_01710","PAPNPA_02046","BENMGJ_01697","IKCLMC_01332","PKJKAM_02818","ONMMKP_04393"
"cysA","","sulfate/thiosulfate ABC transporter ATP-binding protein CysA","13","13","1","52","2460","","","","1094","1097","1096","GEGEGB_00454","LNHIMF_02580","BEJGEH_02469","HFCAGB_02715","AJBGEP_02616","ODDLKH_02950","OEKLIE_03084","ALJMDI_01717","PAPNPA_02039","BENMGJ_01690","IKCLMC_01339","PKJKAM_02825","ONMMKP_04400"
"cysM","","cysteine synthase CysM","13","13","1","52","2462","","","","911","911","911","GEGEGB_00455","LNHIMF_02579","BEJGEH_02468","HFCAGB_02714","AJBGEP_02615","ODDLKH_02949","OEKLIE_03083","ALJMDI_01718","PAPNPA_02038","BENMGJ_01689","IKCLMC_01340","PKJKAM_02826","ONMMKP_04401"
"ptsJ","","transcriptional regulator PtsJ","13","13","1","52","2466","","","","1292","1292","1292","GEGEGB_00458","LNHIMF_02576","BEJGEH_02464","HFCAGB_02710","AJBGEP_02611","ODDLKH_02946","OEKLIE_03079","ALJMDI_01721","PAPNPA_02035","BENMGJ_01685","IKCLMC_01344","PKJKAM_02829","ONMMKP_04405"
"gltX","","glutamate--tRNA ligase","13","13","1","52","2484","","","","1235","1415","1401","GEGEGB_00480","LNHIMF_02554","BEJGEH_02442","HFCAGB_02688","AJBGEP_02589","ODDLKH_02924","OEKLIE_02073","ALJMDI_02162","PAPNPA_00022","BENMGJ_02801","IKCLMC_01579","PKJKAM_02851","ONMMKP_04427"
"group_1245","Transporter","Transporter","13","13","1","52","2500","","","","113","113","113","GEGEGB_00498","LNHIMF_02538","BEJGEH_02426","HFCAGB_02671","AJBGEP_02573","ODDLKH_02908","OEKLIE_02057","ALJMDI_02140","PAPNPA_04529","BENMGJ_02783","IKCLMC_01595","PKJKAM_02868","ONMMKP_04443"
"dedD","","cell division protein DedD","13","13","1","52","2556","","","","674","674","674","GEGEGB_00542","LNHIMF_02501","BEJGEH_02389","HFCAGB_02627","AJBGEP_02535","ODDLKH_02870","OEKLIE_02019","ALJMDI_02105","PAPNPA_04492","BENMGJ_02731","IKCLMC_01633","PKJKAM_02906","ONMMKP_04481"
