#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEW01000008.1:29557-31356|+   -            600 11342at91347         -            517  6.9e-278  920.5   0.0   1   1  1.4e-280    8e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABEW01000008.1_29 # 29557 # 31356 # 1 # ID=56_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
NZ_ABEW01000004.1:217123-218973|+ -            617 11342at91347         -            517   1.6e-07   28.5   0.0   1   1   5.3e-10   3.1e-07   27.5   0.0    11   164     7   158     2   183 0.73 NZ_ABEW01000004.1_199 # 217123 # 218973 # 1 # ID=60_199;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.572
NZ_ABEW01000008.1:104973-106445|+ -            491 11342at91347         -            517   0.00024   18.0   0.0   1   1   7.1e-07   0.00042   17.2   0.0    79   167   273   368   204   377 0.80 NZ_ABEW01000008.1_94 # 104973 # 106445 # 1 # ID=56_94;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/data/00-reads/GCF_000171415.1_ASM17141v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:06:12 2026
# [ok]
