#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:3184563-3186362|- -            600 11342at91347         -            517  6.3e-278  920.5   0.0   1   1  1.5e-280  7.3e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABAM02000001.1_2942 # 3184563 # 3186362 # -1 # ID=2_2942;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABAM02000001.1:3448421-3449860|- -            480 11342at91347         -            517   3.4e-11   40.5   0.1   1   1   1.4e-13   6.5e-11   39.5   0.1    38   138    79   183    25   189 0.77 NZ_ABAM02000001.1_3185 # 3448421 # 3449860 # -1 # ID=2_3185;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABAM02000001.1:4243525-4245375|- -            617 11342at91347         -            517   1.8e-07   28.2   0.0   1   1   7.9e-10   3.8e-07   27.1   0.0    11   163     7   157     2   173 0.71 NZ_ABAM02000001.1_3921 # 4243525 # 4245375 # -1 # ID=2_3921;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.570
NZ_ABAM02000001.1:3109216-3110688|- -            491 11342at91347         -            517   0.00022   18.0   0.0   1   1     8e-07   0.00039   17.2   0.0    79   167   273   368   204   377 0.80 NZ_ABAM02000001.1_2877 # 3109216 # 3110688 # -1 # ID=2_2877;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:46 2026
# [ok]
