#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:648694-650010|+   -            439 38133at91347         -            376  5.6e-180  596.2   0.0   1   1  1.5e-182  8.2e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABAM02000001.1_572 # 648694 # 650010 # 1 # ID=2_572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABAM02000001.1:3872343-3873761|+ -            473 38133at91347         -            376   0.00012   19.2   0.0   2   2    0.0045       2.4    5.0   0.0     4    32   285   313   282   332 0.82 NZ_ABAM02000001.1_3577 # 3872343 # 3873761 # 1 # ID=2_3577;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABAM02000001.1:3047373-3049334|- -            654 38133at91347         -            376    0.0027   14.7   0.0   1   2   4.6e-05     0.025   11.6   0.0     5    38   326   359   322   367 0.91 NZ_ABAM02000001.1_2840 # 3047373 # 3049334 # -1 # ID=2_2840;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:3047373-3049334|- -            654 38133at91347         -            376    0.0027   14.7   0.0   2   2     0.088        48    0.8   0.0     5    31   467   493   463   512 0.81 NZ_ABAM02000001.1_2840 # 3047373 # 3049334 # -1 # ID=2_2840;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:2936476-2937744|- -            423 38133at91347         -            376     0.016   12.2   0.0   1   3   0.00086      0.47    7.4   0.0    91   121    50    80    23    85 0.81 NZ_ABAM02000001.1_2731 # 2936476 # 2937744 # -1 # ID=2_2731;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:2936476-2937744|- -            423 38133at91347         -            376     0.016   12.2   0.0   2   3     0.037        20    2.0   0.0   133   171   140   179   131   208 0.81 NZ_ABAM02000001.1_2731 # 2936476 # 2937744 # -1 # ID=2_2731;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABAM02000001.1:2936476-2937744|- -            423 38133at91347         -            376     0.016   12.2   0.0   3   3       1.9     1e+03   -3.6   0.0   227   265   257   293   252   296 0.59 NZ_ABAM02000001.1_2731 # 2936476 # 2937744 # -1 # ID=2_2731;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/38133at91347.hmm
# Target file:     reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/38133at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/38133at91347.hmm reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:24:47 2026
# [ok]
