#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000007.1:221277-222245|- -            323 58708at91347         -            281  1.7e-151  501.0   0.2   1   1  2.2e-153  9.1e-151  498.7   0.2     1   280     5   316     5   317 0.93 NZ_ABEH02000007.1_209 # 221277 # 222245 # -1 # ID=13_209;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.548
NZ_ABEH02000003.1:406880-408898|+ -            673 58708at91347         -            281    0.0024   15.0   0.5   2   3   7.4e-05     0.031   11.4   0.0     2    46   374   419   373   452 0.84 NZ_ABEH02000003.1_381 # 406880 # 408898 # 1 # ID=17_381;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
NZ_ABEH02000003.1:406880-408898|+ -            673 58708at91347         -            281    0.0024   15.0   0.5   3   3     0.099        42    1.1   0.0   135   155   496   516   494   523 0.81 NZ_ABEH02000003.1_381 # 406880 # 408898 # 1 # ID=17_381;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
NZ_ABEH02000004.1:451007-453550|- -            848 58708at91347         -            281      0.01   12.9   0.0   1   2   9.2e-05     0.039   11.1   0.0    88   173    96   184    70   198 0.84 NZ_ABEH02000004.1_401 # 451007 # 453550 # -1 # ID=16_401;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NZ_ABEH02000004.1:451007-453550|- -            848 58708at91347         -            281      0.01   12.9   0.0   2   2      0.92   3.9e+02   -2.1   0.0    63   106   203   246   186   277 0.75 NZ_ABEH02000004.1_401 # 451007 # 453550 # -1 # ID=16_401;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NZ_ABEH02000005.1:209464-210705|+ -            414 58708at91347         -            281     0.012   12.7   2.0   1   2     0.016       6.6    3.7   0.0     4    20   126   142   123   165 0.79 NZ_ABEH02000005.1_197 # 209464 # 210705 # 1 # ID=15_197;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.507
NZ_ABEH02000005.1:209464-210705|+ -            414 58708at91347         -            281     0.012   12.7   2.0   2   2   0.00069      0.29    8.2   0.6   205   280   339   409   246   410 0.79 NZ_ABEH02000005.1_197 # 209464 # 210705 # 1 # ID=15_197;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.507
NZ_ABEH02000004.1:17912-19801|+   -            630 58708at91347         -            281     0.019   12.1   0.4   1   2   0.00012      0.05   10.7   0.3     4    41     8    46     6    55 0.84 NZ_ABEH02000004.1_16 # 17912 # 19801 # 1 # ID=16_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
NZ_ABEH02000004.1:17912-19801|+   -            630 58708at91347         -            281     0.019   12.1   0.4   2   2       2.7   1.2e+03   -3.6   0.0   243   275   362   392   334   394 0.71 NZ_ABEH02000004.1_16 # 17912 # 19801 # 1 # ID=16_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58708at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:28 2026
# [ok]
