#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:2688526-2690325|- -            600 11342at91347         -            517  6.6e-278  920.5   0.0   1   1  1.7e-280  7.6e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_011149.1_2499 # 2688526 # 2690325 # -1 # ID=1_2499;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NC_011149.1:4279246-4280430|+ -            395 11342at91347         -            517   8.8e-13   45.8   0.0   1   1   2.7e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_011149.1_3981 # 4279246 # 4280430 # 1 # ID=1_3981;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_011149.1:2984436-2985875|- -            480 11342at91347         -            517   3.5e-11   40.5   0.1   1   1   1.5e-13   6.8e-11   39.5   0.1    38   138    79   183    25   189 0.77 NC_011149.1_2789 # 2984436 # 2985875 # -1 # ID=1_2789;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NC_011149.1:3788706-3790556|- -            617 11342at91347         -            517   1.7e-07   28.3   0.0   1   1   8.4e-10   3.8e-07   27.2   0.0    11   164     7   158     2   172 0.71 NC_011149.1_3540 # 3788706 # 3790556 # -1 # ID=1_3540;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_011149.1:2611872-2613344|- -            491 11342at91347         -            517   0.00023   18.0   0.0   1   1   8.9e-07    0.0004   17.2   0.0    79   167   273   368   204   377 0.80 NC_011149.1_2432 # 2611872 # 2613344 # -1 # ID=1_2432;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:23:26 2026
# [ok]
