#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3762288-3763658|+ -            457 47034at91347         -            399  1.8e-197  654.2   0.6   1   1  5.1e-200  2.2e-197  653.9   0.6     1   394     7   443     7   454 0.92 NC_004631.1_3639 # 3762288 # 3763658 # 1 # ID=1_3639;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:871817-872590|+   -            258 47034at91347         -            399    0.0042   14.1   0.1   1   2     4e-05     0.017   12.1   0.0     2    41     3    45     2    62 0.87 NC_004631.1_782 # 871817 # 872590 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.435
NC_004631.1:871817-872590|+   -            258 47034at91347         -            399    0.0042   14.1   0.1   2   2      0.26   1.1e+02   -0.4   0.0    55    86    97   129    74   154 0.76 NC_004631.1_782 # 871817 # 872590 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.435
NC_004631.1:2906175-2906885|- -            237 47034at91347         -            399     0.005   13.9   0.0   1   1   1.8e-05    0.0074   13.3   0.0     3    37    11    45     9    58 0.91 NC_004631.1_2820 # 2906175 # 2906885 # -1 # ID=1_2820;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.578
NC_004631.1:1575553-1576533|+ -            327 47034at91347         -            399     0.013   12.6   0.7   1   2   0.00033      0.14    9.1   0.1   218   285    63   126    51   181 0.68 NC_004631.1_1518 # 1575553 # 1576533 # 1 # ID=1_1518;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.510
NC_004631.1:1575553-1576533|+ -            327 47034at91347         -            399     0.013   12.6   0.7   2   2     0.077        32    1.3   0.1   233   273   237   279   222   299 0.57 NC_004631.1_1518 # 1575553 # 1576533 # 1 # ID=1_1518;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.510
NC_004631.1:866089-866982|+   -            298 47034at91347         -            399     0.015   12.3   0.2   1   3    0.0022      0.93    6.4   0.2     3    37     7    44     5    67 0.77 NC_004631.1_776 # 866089 # 866982 # 1 # ID=1_776;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_004631.1:866089-866982|+   -            298 47034at91347         -            399     0.015   12.3   0.2   2   3     0.061        26    1.7   0.0    53    87    99   133    87   152 0.86 NC_004631.1_776 # 866089 # 866982 # 1 # ID=1_776;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_004631.1:866089-866982|+   -            298 47034at91347         -            399     0.015   12.3   0.2   3   3      0.17        70    0.2   0.0   117   152   184   219   160   258 0.66 NC_004631.1_776 # 866089 # 866982 # 1 # ID=1_776;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.517
NC_004631.1:3728210-3728794|+ -            195 47034at91347         -            399     0.046   10.7   0.0   1   1   0.00013     0.053   10.5   0.0     3    39    10    45     8   124 0.69 NC_004631.1_3609 # 3728210 # 3728794 # 1 # ID=1_3609;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/47034at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/47034at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/47034at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:57 2026
# [ok]
