#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:4172494-4173015|+ -            174 72355at91347         -            140     1e-79  263.4   0.3   1   1   3.4e-82   1.6e-79  262.8   0.3     1   140     1   150     1   150 0.96 NC_004631.1_4013 # 4172494 # 4173015 # 1 # ID=1_4013;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NC_004631.1:2044404-2046680|- -            759 72355at91347         -            140      0.01   13.9   0.1   2   3         2   9.3e+02   -2.2   0.0    22    43   450   471   446   474 0.86 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_004631.1:2044404-2046680|- -            759 72355at91347         -            140      0.01   13.9   0.1   3   3    0.0011       0.5    8.4   0.0     9    43   493   529   486   535 0.84 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_004631.1:2004889-2005572|- -            228 72355at91347         -            140     0.015   13.3   0.0   1   3   0.00011     0.052   11.5   0.0     9    37    10    38     5    61 0.83 NC_004631.1_1958 # 2004889 # 2005572 # -1 # ID=1_1958;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NC_004631.1:2004889-2005572|- -            228 72355at91347         -            140     0.015   13.3   0.0   2   3       3.4   1.6e+03   -3.0   0.0    24    41    63    80    60    88 0.79 NC_004631.1_1958 # 2004889 # 2005572 # -1 # ID=1_1958;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NC_004631.1:2004889-2005572|- -            228 72355at91347         -            140     0.015   13.3   0.0   3   3         2   9.3e+02   -2.2   0.0    98   117   167   186   148   217 0.63 NC_004631.1_1958 # 2004889 # 2005572 # -1 # ID=1_1958;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
NC_004631.1:4562793-4563743|+ -            317 72355at91347         -            140     0.032   12.2   0.0   1   1   0.00014     0.066   11.2   0.0     5    41    11    47     8    55 0.86 NC_004631.1_4403 # 4562793 # 4563743 # 1 # ID=1_4403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/72355at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/72355at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/72355at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:57 2026
# [ok]
