#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3630613-3631944|+ -            444 22118at91347         -            397  7.8e-234  773.9   8.2   1   1  5.6e-235  3.3e-232  768.6   8.2     1   397     1   443     1   443 0.96 NC_004631.1_3507 # 3630613 # 3631944 # 1 # ID=1_3507;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NC_004631.1:2044404-2046680|- -            759 22118at91347         -            397   3.3e-06   24.4   0.1   3   3   3.7e-06    0.0022   15.1   0.0    11    82   457   526   452   536 0.78 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_004631.1:4172494-4173015|+ -            174 22118at91347         -            397   0.00056   17.0   0.2   1   1   1.2e-06   0.00069   16.7   0.2    45   175     5   147     2   171 0.64 NC_004631.1_4013 # 4172494 # 4173015 # 1 # ID=1_4013;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NC_004631.1:3534845-3536047|+ -            401 22118at91347         -            397     0.033   11.2   0.0   1   1   0.00015     0.087    9.8   0.0    41    66    98   126    67   137 0.72 NC_004631.1_3433 # 3534845 # 3536047 # 1 # ID=1_3433;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.526
NC_004631.1:4562793-4563743|+ -            317 22118at91347         -            397     0.039   11.0   0.0   1   1   0.00011     0.064   10.3   0.0    43    77     9    43     1    55 0.88 NC_004631.1_4403 # 4562793 # 4563743 # 1 # ID=1_4403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm
# Target file:     reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/22118at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:14:40 2026
# [ok]
