#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000009.1:2896-3909|+     -            338 17277at91347         -            348  5.5e-158  523.4   0.3   1   1  2.1e-160  7.2e-158  523.0   0.3    62   344     1   318     1   327 0.93 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000004.1:435095-435616|+ -            174 17277at91347         -            348    0.0006   16.8   0.0   1   1   2.2e-06   0.00077   16.4   0.0    78   113     3    38     1    75 0.86 NZ_ABEH02000004.1_389 # 435095 # 435616 # 1 # ID=16_389;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEH02000008.1:5625-7145|-     -            507 17277at91347         -            348     0.005   13.8   0.0   1   2   3.4e-05     0.012   12.5   0.0    77   103   208   234   179   249 0.84 NZ_ABEH02000008.1_4 # 5625 # 7145 # -1 # ID=12_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.525
NZ_ABEH02000008.1:5625-7145|-     -            507 17277at91347         -            348     0.005   13.8   0.0   2   2       2.7   9.4e+02   -3.6   0.0   140   158   290   308   289   310 0.81 NZ_ABEH02000008.1_4 # 5625 # 7145 # -1 # ID=12_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.525
NZ_ABEH02000007.1:228261-229604|+ -            448 17277at91347         -            348    0.0055   13.6   0.0   1   1   2.7e-05    0.0095   12.8   0.0    81   161    52   123    39   130 0.74 NZ_ABEH02000007.1_213 # 228261 # 229604 # 1 # ID=13_213;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
NZ_ABEH02000003.1:32879-34957|+   -            693 17277at91347         -            348     0.013   12.4   0.0   1   1   6.7e-05     0.023   11.5   0.0    65   100   386   423   368   427 0.85 NZ_ABEH02000003.1_35 # 32879 # 34957 # 1 # ID=17_35;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABEH02000001.1:194074-195024|+ -            317 17277at91347         -            348     0.017   12.0   0.0   1   1   8.6e-05      0.03   11.2   0.0    81   113    12    44     6    56 0.86 NZ_ABEH02000001.1_156 # 194074 # 195024 # 1 # ID=19_156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABEH02000008.1:223406-224509|- -            368 17277at91347         -            348     0.034   11.0   0.0   1   1   0.00014     0.048   10.5   0.0    78   118    81   122    69   129 0.82 NZ_ABEH02000008.1_206 # 223406 # 224509 # -1 # ID=12_206;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.582
NZ_ABEH02000011.1:54798-55808|-   -            337 17277at91347         -            348     0.044   10.6   0.0   1   1    0.0002     0.071   10.0   0.0    49   121    28    97     9   106 0.74 NZ_ABEH02000011.1_59 # 54798 # 55808 # -1 # ID=9_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/17277at91347.hmm
# Target file:     reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/17277at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/17277at91347.hmm reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:33 2026
# [ok]
