#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:1131155-1132558|- -            468 52476at91347         -            371  4.3e-171  566.8   0.0   1   1  1.3e-170  5.4e-168  556.6   0.0     1   371    18   467    18   467 0.88 NZ_ABFH02000001.1_1015 # 1131155 # 1132558 # -1 # ID=5_1015;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABFH02000002.1:210896-211987|-   -            364 52476at91347         -            371    0.0066   13.4   0.2   1   1   3.3e-05     0.014   12.3   0.2   184   207     2    25     1   139 0.82 NZ_ABFH02000002.1_219 # 210896 # 211987 # -1 # ID=4_219;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NZ_ABFH02000002.1:1113892-1115658|+ -            589 52476at91347         -            371     0.028   11.3   0.0   1   1   0.00014     0.058   10.3   0.0   180   206   372   398   357   402 0.90 NZ_ABFH02000002.1_1118 # 1113892 # 1115658 # 1 # ID=4_1118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.566
NZ_ABFH02000001.1:1505206-1507524|- -            773 52476at91347         -            371     0.041   10.8   0.0   1   1   0.00014     0.059   10.3   0.0   186   241     5    59     1   101 0.75 NZ_ABFH02000001.1_1339 # 1505206 # 1507524 # -1 # ID=5_1339;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.566
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm
# Target file:     reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/52476at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/52476at91347.hmm reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:36 2026
# [ok]
