#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:993557-994525|-   -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_016856.1_902 # 993557 # 994525 # -1 # ID=1_902;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.551
NC_016856.1:3404508-3406526|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   2   3   7.4e-05     0.034   11.4   0.0     2    46   374   419   373   452 0.84 NC_016856.1_3209 # 3404508 # 3406526 # 1 # ID=1_3209;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_016856.1:3404508-3406526|+ -            673 58708at91347         -            281    0.0026   15.0   0.5   3   3     0.099        46    1.1   0.0   135   155   496   516   494   523 0.81 NC_016856.1_3209 # 3404508 # 3406526 # 1 # ID=1_3209;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_016856.1:3637374-3639917|+ -            848 58708at91347         -            281     0.011   13.0   0.0   1   2   9.2e-05     0.043   11.1   0.0    88   173    96   184    70   198 0.84 NC_016856.1_3455 # 3637374 # 3639917 # 1 # ID=1_3455;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NC_016856.1:3637374-3639917|+ -            848 58708at91347         -            281     0.011   13.0   0.0   2   2      0.92   4.3e+02   -2.1   0.0    63   106   203   246   186   277 0.75 NC_016856.1_3455 # 3637374 # 3639917 # 1 # ID=1_3455;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569
NC_016856.1:2332946-2334187|+ -            414 58708at91347         -            281     0.013   12.7   2.0   1   2     0.016       7.3    3.7   0.0     4    20   126   142   123   165 0.79 NC_016856.1_2233 # 2332946 # 2334187 # 1 # ID=1_2233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NC_016856.1:2332946-2334187|+ -            414 58708at91347         -            281     0.013   12.7   2.0   2   2   0.00069      0.32    8.2   0.6   205   280   339   409   246   410 0.79 NC_016856.1_2233 # 2332946 # 2334187 # 1 # ID=1_2233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.510
NC_016856.1:4095591-4097480|- -            630 58708at91347         -            281     0.021   12.1   0.4   1   2   0.00012     0.055   10.7   0.3     4    41     8    46     6    55 0.84 NC_016856.1_3857 # 4095591 # 4097480 # -1 # ID=1_3857;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NC_016856.1:4095591-4097480|- -            630 58708at91347         -            281     0.021   12.1   0.4   2   2       2.7   1.3e+03   -3.6   0.0   243   275   362   392   334   394 0.71 NC_016856.1_3857 # 4095591 # 4097480 # -1 # ID=1_3857;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58708at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:43 2026
# [ok]
