#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:2034344-2035312|+ -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_004631.1_1980 # 2034344 # 2035312 # 1 # ID=1_1980;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.547
NC_004631.1:1823368-1824486|+ -            373 58708at91347         -            281    0.0028   14.9   0.1   1   1   8.8e-06    0.0041   14.4   0.1     3    31     3    31     1    44 0.86 NC_004631.1_1764 # 1823368 # 1824486 # 1 # ID=1_1764;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.558
NC_004631.1:4188137-4190680|- -            848 58708at91347         -            281     0.011   13.0   0.0   1   2   9.2e-05     0.043   11.1   0.0    88   173    96   184    70   198 0.84 NC_004631.1_4026 # 4188137 # 4190680 # -1 # ID=1_4026;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:4188137-4190680|- -            848 58708at91347         -            281     0.011   13.0   0.0   2   2      0.92   4.3e+02   -2.1   0.0    63   106   203   246   186   277 0.75 NC_004631.1_4026 # 4188137 # 4190680 # -1 # ID=1_4026;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:3750927-3752816|+ -            630 58708at91347         -            281     0.015   12.6   0.5   1   3   0.00011      0.05   10.8   0.2     4    41     8    46     6    56 0.85 NC_004631.1_3627 # 3750927 # 3752816 # 1 # ID=1_3627;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_004631.1:3750927-3752816|+ -            630 58708at91347         -            281     0.015   12.6   0.5   2   3       1.2   5.6e+02   -2.4   0.0   206   225   107   126    97   140 0.81 NC_004631.1_3627 # 3750927 # 3752816 # 1 # ID=1_3627;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_004631.1:3750927-3752816|+ -            630 58708at91347         -            281     0.015   12.6   0.5   3   3       2.7   1.3e+03   -3.6   0.0   243   275   362   392   334   394 0.71 NC_004631.1_3627 # 3750927 # 3752816 # 1 # ID=1_3627;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.551
NC_004631.1:755720-756961|-   -            414 58708at91347         -            281     0.016   12.5   1.8   1   2     0.016       7.3    3.7   0.0     4    20   126   142   123   165 0.79 NC_004631.1_674 # 755720 # 756961 # -1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
NC_004631.1:755720-756961|-   -            414 58708at91347         -            281     0.016   12.5   1.8   2   2    0.0009      0.42    7.8   0.5   207   280   341   409   245   410 0.77 NC_004631.1_674 # 755720 # 756961 # -1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm
# Target file:     reports/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/run_enterobacterales_odb10/hmmer_output/58708at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/58708at91347.hmm reports/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 21:37:19 2026
# [ok]
