#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:4176201-4177532|- -            444 22118at91347         -            397  1.7e-234  776.0   8.1   1   1  1.3e-235  7.3e-233  770.7   8.1     1   397     1   443     1   443 0.96 NC_011094.1_3935 # 4176201 # 4177532 # -1 # ID=1_3935;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_011094.1:1033099-1035375|+ -            759 22118at91347         -            397   3.9e-06   24.1   0.4   3   4       1.6     9e+02   -3.4   0.0   197   219   383   405   352   407 0.77 NC_011094.1_985 # 1033099 # 1035375 # 1 # ID=1_985;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:1033099-1035375|+ -            759 22118at91347         -            397   3.9e-06   24.1   0.4   4   4   3.7e-06    0.0021   15.1   0.0    11    82   457   526   452   536 0.78 NC_011094.1_985 # 1033099 # 1035375 # 1 # ID=1_985;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:3539233-3539754|- -            174 22118at91347         -            397   0.00055   17.0   0.2   1   1   1.2e-06   0.00068   16.7   0.2    45   175     5   147     2   171 0.64 NC_011094.1_3364 # 3539233 # 3539754 # -1 # ID=1_3364;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NC_011092.1:15636-16415|-     -            260 22118at91347         -            397     0.029   11.4   0.0   1   1   8.4e-05     0.048   10.6   0.0    44    78   102   136    87   141 0.83 NC_011092.1_18 # 15636 # 16415 # -1 # ID=2_18;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011094.1:4502825-4503775|+ -            317 22118at91347         -            397     0.037   11.0   0.0   1   1   0.00011      0.06   10.3   0.0    43    77     9    43     1    55 0.88 NC_011094.1_4224 # 4502825 # 4503775 # 1 # ID=1_4224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.543
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/22118at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/22118at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/22118at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:25 2026
# [ok]
