#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:2727878-2729677|- -            600 11342at91347         -            517  6.6e-278  920.5   0.0   1   1  1.7e-280  7.7e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_011094.1_2595 # 2727878 # 2729677 # -1 # ID=1_2595;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.531
NC_011094.1:2978280-2979719|- -            480 11342at91347         -            517   3.5e-11   40.5   0.1   1   1   1.5e-13   6.8e-11   39.5   0.1    38   138    79   183    25   189 0.77 NC_011094.1_2825 # 2978280 # 2979719 # -1 # ID=1_2825;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
NC_011094.1:3750320-3752170|- -            617 11342at91347         -            517   1.4e-07   28.6   0.0   1   1   7.2e-10   3.3e-07   27.4   0.0    11   164     7   158     2   172 0.72 NC_011094.1_3543 # 3750320 # 3752170 # -1 # ID=1_3543;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
NC_011094.1:2653672-2655144|- -            491 11342at91347         -            517   0.00023   18.0   0.0   1   1   8.9e-07    0.0004   17.2   0.0    79   167   273   368   204   377 0.80 NC_011094.1_2532 # 2653672 # 2655144 # -1 # ID=1_2532;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/11342at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:25 2026
# [ok]
