Gene,Non-unique Gene name,Annotation,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
sinI,;sinI,Outer membrane protein;SinI protein,GEGEGB_00372,LNHIMF_02654,BEJGEH_02547,HFCAGB_02794,AJBGEP_02692,ODDLKH_03024,OEKLIE_03160,ALJMDI_01639,PAPNPA_02131,BENMGJ_01762,IKCLMC_01265,PKJKAM_02749,ONMMKP_04324
thiF,thiF,thiazole biosynthesis adenylyltransferase ThiF;Thiazole biosynthesis adenylyltransferase ThiF,GEGEGB_03655,LNHIMF_04208,BEJGEH_04221,HFCAGB_04419,AJBGEP_04374,ODDLKH_00020,OEKLIE_00377,ALJMDI_00079,PAPNPA_00103,BENMGJ_00168,IKCLMC_00241,PKJKAM_00215,ONMMKP_02627
group_3590,,YdgH/BhsA/McbA-like domain-containing protein;DUF1471 domain-containing protein,GEGEGB_04684,LNHIMF_04486,BEJGEH_04466,HFCAGB_04624,AJBGEP_04600,ODDLKH_00260,OEKLIE_00369,ALJMDI_03837,PAPNPA_02920,BENMGJ_00138,IKCLMC_03422,PKJKAM_01131,ONMMKP_02400
group_3588,,alpha-glucosidase,GEGEGB_03798,LNHIMF_04071,BEJGEH_04077,HFCAGB_04270,AJBGEP_04229,ODDLKH_04477,OEKLIE_03183,ALJMDI_00930,PAPNPA_01267,BENMGJ_01030,IKCLMC_00662,PKJKAM_01467,ONMMKP_02769
thiG,thiG,thiazole synthase,GEGEGB_03656,LNHIMF_04206,BEJGEH_04219,HFCAGB_04417,AJBGEP_04372,ODDLKH_00018,OEKLIE_00375,ALJMDI_00081,PAPNPA_00104,BENMGJ_00166,IKCLMC_00243,PKJKAM_00217,ONMMKP_02628
sinH,sinH,intimin-like inverse autotransporter SinH,GEGEGB_00370;GEGEGB_00371,LNHIMF_02655,BEJGEH_02548,HFCAGB_02795,AJBGEP_02693,ODDLKH_03025,OEKLIE_03161,ALJMDI_01638,PAPNPA_02132,BENMGJ_01763,IKCLMC_01264,PKJKAM_02748,ONMMKP_04323
thiH,thiH,2-iminoacetate synthase ThiH,GEGEGB_03657,LNHIMF_04205,BEJGEH_04218,HFCAGB_04416,AJBGEP_04371,ODDLKH_00017,OEKLIE_00374,ALJMDI_00082,PAPNPA_00105,BENMGJ_00165,IKCLMC_00244,PKJKAM_00218,ONMMKP_02629
group_3578,,Lipoprotein;DKNYY family protein;putative exported protein,GEGEGB_03536,LNHIMF_03995,BEJGEH_03999;BEJGEH_03998,HFCAGB_04191;HFCAGB_04192,AJBGEP_04150;AJBGEP_04151,ODDLKH_04398;ODDLKH_04399,OEKLIE_01311;OEKLIE_01312,ALJMDI_00852,PAPNPA_00524;PAPNPA_00525,BENMGJ_00576;BENMGJ_00575,IKCLMC_00496;IKCLMC_00495,PKJKAM_01540;PKJKAM_01541,ONMMKP_02843;ONMMKP_02842
group_3577,,Integral membrane protein,GEGEGB_02194,LNHIMF_00939,BEJGEH_00808,HFCAGB_00888,AJBGEP_00835,ODDLKH_01301,OEKLIE_02809,ALJMDI_01150,PAPNPA_03288,BENMGJ_04475,IKCLMC_01402,PKJKAM_01087,ONMMKP_01306
group_3574,,Inner membrane protein,GEGEGB_01620,LNHIMF_01692,BEJGEH_01440,HFCAGB_01652,AJBGEP_01719,ODDLKH_02119,OEKLIE_02269,ALJMDI_03453,PAPNPA_03985,BENMGJ_03528,IKCLMC_04540,PKJKAM_04552,ONMMKP_00410
group_3572,,Inverse autotransporter beta-domain domain-containing protein,GEGEGB_01667,LNHIMF_01733,BEJGEH_01399,HFCAGB_01611,AJBGEP_01758,ODDLKH_02158,OEKLIE_01422,ALJMDI_03493,PAPNPA_04027,BENMGJ_03568,IKCLMC_04500,PKJKAM_04512,ONMMKP_00370
nhaC,;nhaC,hypothetical protein;Na+/H+ antiporter NhaC,GEGEGB_01555,LNHIMF_01616,BEJGEH_01522,HFCAGB_01729,AJBGEP_01643,ODDLKH_02043,OEKLIE_02193,ALJMDI_03375,PAPNPA_03908,BENMGJ_03452,IKCLMC_04616,PKJKAM_04628,ONMMKP_00490
pphA,;pphA,serine/threonine protein phosphatase;Serine/threonine protein phosphatase;protein-serine/threonine phosphatase,GEGEGB_01091;GEGEGB_01092,LNHIMF_01923,BEJGEH_01212,HFCAGB_01423;HFCAGB_01424,AJBGEP_01946;AJBGEP_01947,ODDLKH_02343;ODDLKH_02344,OEKLIE_01377;OEKLIE_01378,ALJMDI_00209;ALJMDI_00208,PAPNPA_00032,BENMGJ_03753;BENMGJ_03754,IKCLMC_04313;IKCLMC_04312,PKJKAM_04324;PKJKAM_04325,ONMMKP_00183;ONMMKP_00184
group_3555,,DUF3021 domain-containing protein,GEGEGB_03537,LNHIMF_03994,BEJGEH_03997,HFCAGB_04190,AJBGEP_04149,ODDLKH_04397,OEKLIE_01310,ALJMDI_00851,PAPNPA_00523,BENMGJ_00574,IKCLMC_00497,PKJKAM_01542,ONMMKP_02844
sptP,sptP,chaparone for SptP,GEGEGB_02926,LNHIMF_02919,BEJGEH_02871,HFCAGB_03089,AJBGEP_03045,ODDLKH_03305,OEKLIE_01926,ALJMDI_02655,PAPNPA_02978,BENMGJ_02109,IKCLMC_03987,PKJKAM_02500,ONMMKP_03991
thiE,thiE,thiamine phosphate synthase,GEGEGB_03654,LNHIMF_04209,BEJGEH_04222,HFCAGB_04420,AJBGEP_04375,ODDLKH_00021,OEKLIE_00378,ALJMDI_00078,PAPNPA_00102,BENMGJ_00169,IKCLMC_00240,PKJKAM_00214,ONMMKP_02626
citR,citR,DNA-binding transcriptional repressor CitR,GEGEGB_02385,LNHIMF_00749,BEJGEH_00614,HFCAGB_00695,AJBGEP_00629,ODDLKH_01096,OEKLIE_04228,ALJMDI_00707,PAPNPA_02633,BENMGJ_04271,IKCLMC_02427,PKJKAM_03078,ONMMKP_01550
group_3542,,XRE family transcriptional regulator,GEGEGB_01662,LNHIMF_01728,BEJGEH_01404,HFCAGB_01616,AJBGEP_01754,ODDLKH_02154,6_refound_260,ALJMDI_03488,PAPNPA_04022,BENMGJ_03563,IKCLMC_04505,PKJKAM_04517,ONMMKP_00375
fimW,fimW,helix-turn-helix transcriptional regulator,GEGEGB_02434,LNHIMF_00560,BEJGEH_00566,HFCAGB_00580,AJBGEP_00575,ODDLKH_01042,OEKLIE_04174,ALJMDI_00659,PAPNPA_02577,BENMGJ_04217,IKCLMC_02318,PKJKAM_03186,ONMMKP_01603
pduL,pduL,Phosphate propanoyltransferase,GEGEGB_00880,LNHIMF_02128,BEJGEH_02065,HFCAGB_02307,AJBGEP_02208,ODDLKH_02542,OEKLIE_03673,ALJMDI_01792,PAPNPA_04162,BENMGJ_02406,IKCLMC_01962,PKJKAM_04113,ONMMKP_04797
ulaF,ulaF,L-ribulose-5-phosphate 4-epimerase UlaF,GEGEGB_04683,LNHIMF_04484,BEJGEH_04464,HFCAGB_04623,AJBGEP_04599,ODDLKH_00259,OEKLIE_00368,ALJMDI_03835,PAPNPA_02919,BENMGJ_00137,IKCLMC_03423,PKJKAM_01132,ONMMKP_02401
group_3538,,MFS transporter,GEGEGB_03799,LNHIMF_04070,BEJGEH_04076,HFCAGB_04269,AJBGEP_04228,ODDLKH_04476,OEKLIE_03182,ALJMDI_00929,PAPNPA_01266,BENMGJ_01031,IKCLMC_00661,PKJKAM_01468,ONMMKP_02770
ycxB,ycxB,YcxB family protein,GEGEGB_01087,LNHIMF_01927,BEJGEH_01208,HFCAGB_01419,AJBGEP_01951,ODDLKH_02348,OEKLIE_01382,ALJMDI_00213,PAPNPA_00698,BENMGJ_03758,IKCLMC_04308,PKJKAM_04320,ONMMKP_00179
sopE2~~~sopE,sopE2;sopE,SPI-1 type III secretion system guanine nucleotide exchange factor SopE2;G-nucleotide exchange factor SopE,GEGEGB_01089,LNHIMF_01925,BEJGEH_01210,HFCAGB_01421,AJBGEP_01949,ODDLKH_02346,OEKLIE_01380,ALJMDI_00211,PAPNPA_00696,BENMGJ_03756,IKCLMC_04310,PKJKAM_04322,ONMMKP_00181
sopF,sopF,type III secretion system effector SopF,GEGEGB_01180,LNHIMF_01282,BEJGEH_01854,HFCAGB_02058,AJBGEP_01314,ODDLKH_01713,OEKLIE_03013,ALJMDI_00542,PAPNPA_01132,BENMGJ_00820,IKCLMC_00958,PKJKAM_00509,ONMMKP_00897
group_3534,,CaiF/GrlA family transcriptional regulator,GEGEGB_03092,LNHIMF_03070,BEJGEH_03037,HFCAGB_03249,AJBGEP_03198,ODDLKH_03459,OEKLIE_01157,ALJMDI_02797,PAPNPA_03140,BENMGJ_02272,IKCLMC_03834,PKJKAM_02339,ONMMKP_03832
livJ,;livJ,Leu/Ile/Val/Thr-binding protein;branched chain amino acid ABC transporter substrate-binding protein LivJ,GEGEGB_04182;GEGEGB_04181,LNHIMF_03609,BEJGEH_03603,HFCAGB_03807,AJBGEP_03756,ODDLKH_04015,OEKLIE_03939,ALJMDI_02496,PAPNPA_01649,BENMGJ_02924,IKCLMC_02823,PKJKAM_03801,ONMMKP_03279
group_3532,,Phage integrase protein;Tyrosine-type recombinase/integrase;Integrase;Core-binding (CB) domain-containing protein;Tyr recombinase domain-containing protein,GEGEGB_01075,LNHIMF_01946,BEJGEH_01195,HFCAGB_01346,AJBGEP_01968,ODDLKH_02364,OEKLIE_01399,ALJMDI_00231,PAPNPA_00762,BENMGJ_03776,IKCLMC_04284,PKJKAM_04294;PKJKAM_04295,ONMMKP_00160;ONMMKP_00161
bcfD,bcfD,fimbrial protein BcfD,GEGEGB_00028,LNHIMF_00025,BEJGEH_00026,HFCAGB_00026,AJBGEP_00025,ODDLKH_00501,OEKLIE_04611,ALJMDI_04049,PAPNPA_03517,BENMGJ_00701,IKCLMC_03184,PKJKAM_02080,ONMMKP_02156
draG,draG,ADP-ribosylglycohydrolase family protein,GEGEGB_03745,LNHIMF_04122,BEJGEH_04132,HFCAGB_04321,AJBGEP_04280,ODDLKH_04528,OEKLIE_03272,ALJMDI_00981,PAPNPA_01322,BENMGJ_00977,IKCLMC_00714,PKJKAM_01415,ONMMKP_02717
group_3526,,Phosphoadenosine phosphosulphate reductase domain-containing protein,GEGEGB_02386,LNHIMF_00748,BEJGEH_00613,HFCAGB_00694,AJBGEP_00628,ODDLKH_01095,OEKLIE_04227,ALJMDI_00706,PAPNPA_02632,BENMGJ_04270,IKCLMC_02426,PKJKAM_03079,ONMMKP_01551
group_3520,,Transposase (putative) YhgA-like domain-containing protein,GEGEGB_04823,LNHIMF_04591,BEJGEH_04632,HFCAGB_04749;HFCAGB_04750,AJBGEP_04735,ODDLKH_00394,OEKLIE_03606,ALJMDI_03954,PAPNPA_01492,BENMGJ_01088,IKCLMC_03295,PKJKAM_02187,ONMMKP_02255
fixC~~~fixX,fixC;fixX,Protein FixC;ferredoxin-like protein FixX,GEGEGB_00081,LNHIMF_00079,BEJGEH_00080,HFCAGB_00080,AJBGEP_00081,ODDLKH_00555,OEKLIE_04667;OEKLIE_04666,ALJMDI_04102,PAPNPA_03569,BENMGJ_01634,IKCLMC_03131,PKJKAM_02026,ONMMKP_02104
group_3517,oadA;,sodium-extruding oxaloacetate decarboxylase subunit alpha;Lipoyl-binding domain-containing protein,GEGEGB_00060,LNHIMF_00057,BEJGEH_00058,HFCAGB_00059,AJBGEP_00057,ODDLKH_00533,OEKLIE_04643;OEKLIE_04644,ALJMDI_04080,PAPNPA_03547,BENMGJ_01655,IKCLMC_03152,PKJKAM_02048,ONMMKP_02125
pduP,;pduP,CoA-acylating propionaldehyde dehydrogenase;Aldehyde dehydrogenase;CoA-acylating propionaldehyde dehydrogenase PduP,GEGEGB_00877,LNHIMF_02132,BEJGEH_02069,HFCAGB_02311,AJBGEP_02212,ODDLKH_02546,OEKLIE_03677,ALJMDI_01796,PAPNPA_04166,BENMGJ_02410,IKCLMC_01958;IKCLMC_01957,PKJKAM_04109,ONMMKP_04793
pduS,pduS,cobalamin reductase PduS,GEGEGB_00875,LNHIMF_02134,BEJGEH_02071,HFCAGB_02313,AJBGEP_02214,ODDLKH_02548,OEKLIE_03679,ALJMDI_01798,PAPNPA_04168,BENMGJ_02412,IKCLMC_01955,PKJKAM_04107,ONMMKP_04791
group_3513,,Membrane protein,GEGEGB_01595,LNHIMF_01662,BEJGEH_01475,HFCAGB_01685,AJBGEP_01687,ODDLKH_02087,OEKLIE_02237,ALJMDI_03422,PAPNPA_03952,BENMGJ_03496,IKCLMC_04572,PKJKAM_04584,ONMMKP_00446
drpB,drpB,cell division protein DrpB,GEGEGB_00951,LNHIMF_02069,BEJGEH_01073,HFCAGB_01223,AJBGEP_02094,ODDLKH_02487,OEKLIE_01618,ALJMDI_00036,PAPNPA_00348,BENMGJ_00461,IKCLMC_04158,PKJKAM_04169,ONMMKP_00036
group_3511,,Tetratricopeptide repeat protein;Periplasmic protein;Putative periplasmic protein,GEGEGB_01791,LNHIMF_01270,BEJGEH_01866,HFCAGB_02070,AJBGEP_01231,ODDLKH_01635,OEKLIE_03025,ALJMDI_00512,PAPNPA_01120,BENMGJ_00806,IKCLMC_00874,PKJKAM_00521,ONMMKP_00909
group_3507,,Permease;Sugar porter family MFS transporter,GEGEGB_03709,LNHIMF_04157,BEJGEH_04168,HFCAGB_04357,AJBGEP_04316,ODDLKH_04564,OEKLIE_03308,ALJMDI_01017,PAPNPA_01359,BENMGJ_00941,IKCLMC_00750,PKJKAM_01379,ONMMKP_02679
group_3505,ydiV,Anti-FlhC(2)FlhD(4) factor YdiV,GEGEGB_02655,LNHIMF_00371,BEJGEH_00352,HFCAGB_00363,AJBGEP_00363,ODDLKH_00831,OEKLIE_02696,ALJMDI_04344,PAPNPA_01917,BENMGJ_04003,IKCLMC_02104,PKJKAM_03399,ONMMKP_01817
group_3504,,Periplasmic protein,GEGEGB_03743,LNHIMF_04124,BEJGEH_04134,HFCAGB_04323,AJBGEP_04282,ODDLKH_04530,OEKLIE_03274,ALJMDI_00983,PAPNPA_01324,BENMGJ_00975,IKCLMC_00716,PKJKAM_01413,ONMMKP_02715
sopB,sopB,SPI-1 type III secretion system effector inositol phosphate phosphatase SopB,GEGEGB_01933,LNHIMF_01124,BEJGEH_00995,HFCAGB_01139,AJBGEP_01089,ODDLKH_01495,OEKLIE_01531,ALJMDI_00366,PAPNPA_00933,BENMGJ_01314,IKCLMC_00587,PKJKAM_00657,ONMMKP_01049
oadA,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,GEGEGB_03445,LNHIMF_03404,BEJGEH_03381,HFCAGB_03585,AJBGEP_03534,ODDLKH_03795,OEKLIE_01257,ALJMDI_00137,PAPNPA_00470,BENMGJ_00238,IKCLMC_03497,PKJKAM_01674,ONMMKP_03487
group_3502,,shikimate 5-dehydrogenase,GEGEGB_03871,LNHIMF_03909,BEJGEH_03911,HFCAGB_04109,AJBGEP_04065,ODDLKH_04314,OEKLIE_00170,ALJMDI_02194,PAPNPA_00069,BENMGJ_00060,IKCLMC_02528,PKJKAM_01624,ONMMKP_02925
group_3499,,DUF1127 domain-containing protein,GEGEGB_04826,LNHIMF_04593,BEJGEH_04634,HFCAGB_04752,AJBGEP_04737,ODDLKH_00396,OEKLIE_03608,ALJMDI_03956,PAPNPA_01494,BENMGJ_01086,IKCLMC_03293,PKJKAM_02185,ONMMKP_02253
group_3498,,Redoxin domain-containing protein,GEGEGB_01665,LNHIMF_01731,BEJGEH_01401,HFCAGB_01613,AJBGEP_01756,ODDLKH_02156,OEKLIE_01420,ALJMDI_03491,PAPNPA_04025,BENMGJ_03566,IKCLMC_04502,PKJKAM_04514,ONMMKP_00372
fhuB,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,GEGEGB_00214,LNHIMF_00208,BEJGEH_00214,HFCAGB_00204,AJBGEP_00205,ODDLKH_00678,OEKLIE_04791,ALJMDI_04234,PAPNPA_03706,BENMGJ_00231,IKCLMC_03005,PKJKAM_00714,ONMMKP_01970
group_3497,,DUF4034 domain-containing protein,GEGEGB_00781,LNHIMF_02283,BEJGEH_02157,HFCAGB_02402,AJBGEP_02300,ODDLKH_02635,OEKLIE_03767,ALJMDI_01886,PAPNPA_04257,BENMGJ_02499,IKCLMC_01864,PKJKAM_03997,ONMMKP_04712
sopA,;sopA,pentapeptide repeat-containing protein;E3 ubiquitin-protein ligase SopA;SPI-1 type III secretion system effector HECT-type E3 ubiquitin transferase SopA;type III secretion system effector SopA HECT-like E3 ubiquitin ligase,GEGEGB_00861;GEGEGB_00859;GEGEGB_00860,LNHIMF_02147,BEJGEH_02084,HFCAGB_02326,AJBGEP_02227,ODDLKH_02561,OEKLIE_03692,ALJMDI_01811,PAPNPA_04181,BENMGJ_02425,IKCLMC_01942;IKCLMC_01941,PKJKAM_04094,ONMMKP_04777;ONMMKP_04778
group_3491,,Inner membrane protein,GEGEGB_04394,LNHIMF_04338,BEJGEH_04315,HFCAGB_04491,AJBGEP_04464,ODDLKH_00112,OEKLIE_03406,ALJMDI_03699,PAPNPA_02773,BENMGJ_01429,IKCLMC_01060,PKJKAM_01266,ONMMKP_02537
sadA,;sadA,Hemagglutinin;trimeric autotransporter adhesin SadA;Autotransporter;Hemagglutinin/invasin,GEGEGB_04049,LNHIMF_03734,BEJGEH_03735,HFCAGB_03938,AJBGEP_03886,ODDLKH_04144,OEKLIE_00937,ALJMDI_02367;ALJMDI_02366,PAPNPA_01774,BENMGJ_03053,IKCLMC_02693,PKJKAM_03671,ONMMKP_03147
speC,;speC,Ornithine decarboxylase;hypothetical protein;Constitutive ornithine decarboxylase,GEGEGB_03189;GEGEGB_03188,LNHIMF_03159,BEJGEH_03128,HFCAGB_03341,AJBGEP_03289,ODDLKH_03548,OEKLIE_04483,ALJMDI_02883,PAPNPA_02225;PAPNPA_02226,BENMGJ_01832,IKCLMC_03743,PKJKAM_00041,ONMMKP_03742
group_3481,,hypothetical protein;STMF1-40 protein;Cytoplasmic protein,GEGEGB_03659,LNHIMF_04204,BEJGEH_04216;BEJGEH_04215,HFCAGB_04414,AJBGEP_04369,ODDLKH_00016;ODDLKH_00015,OEKLIE_00372,ALJMDI_00083,PAPNPA_00107;PAPNPA_00108,BENMGJ_00163;BENMGJ_00162,IKCLMC_00245;IKCLMC_00246,PKJKAM_00220,ONMMKP_02631
group_3475,,DUF4751 domain-containing protein,GEGEGB_00109,LNHIMF_00102,BEJGEH_00106,HFCAGB_00099,AJBGEP_00104,ODDLKH_00578,OEKLIE_04690,ALJMDI_04127,PAPNPA_03591,BENMGJ_01611,IKCLMC_03107,PKJKAM_02003,ONMMKP_02081
pagD,pagD;,virulence protein PagD;Virulence factor,GEGEGB_01188,LNHIMF_01291,BEJGEH_01846,HFCAGB_02052,AJBGEP_01320,ODDLKH_01719,OEKLIE_03007,ALJMDI_00551,PAPNPA_01139,BENMGJ_00826,IKCLMC_00964,PKJKAM_00503,ONMMKP_00891
group_3473,;shdA,ESPR domain-containing protein;autotransporter outer membrane beta-barrel domain-containing protein;fibronectin-binding autotransporter adhesin ShdA;AIDA autotransporter-like protein,GEGEGB_00379,LNHIMF_02650,BEJGEH_02544,HFCAGB_02789;HFCAGB_02790,AJBGEP_02688,ODDLKH_03021,OEKLIE_03156,ALJMDI_01642,PAPNPA_02128,BENMGJ_01759,IKCLMC_01268,PKJKAM_02753,ONMMKP_04328
group_3472,,DUF4440 domain-containing protein;DUF3225 domain-containing protein,GEGEGB_01530,LNHIMF_01583,BEJGEH_01556,HFCAGB_01748,AJBGEP_01611,ODDLKH_02011,OEKLIE_02161,ALJMDI_03343,PAPNPA_03869,BENMGJ_03418,IKCLMC_04643,PKJKAM_04659,ONMMKP_00521
group_3466,ccmD,heme exporter protein CcmD,GEGEGB_03910,LNHIMF_03870,BEJGEH_03872,HFCAGB_04068,AJBGEP_04017,ODDLKH_04274,OEKLIE_02666,ALJMDI_02233,PAPNPA_01066,BENMGJ_03185,IKCLMC_02572,PKJKAM_03019,ONMMKP_03021
group_3465,ccmD,heme exporter protein CcmD,GEGEGB_00660,LNHIMF_02386,BEJGEH_02274,HFCAGB_02511,AJBGEP_02420,ODDLKH_02755,OEKLIE_02423,ALJMDI_01997,PAPNPA_04378,BENMGJ_02618,IKCLMC_01749,PKJKAM_00050,ONMMKP_04595
yciO,;yciO,Sua5/YciO/YrdC/YwlC family protein;YciO family;L-threonylcarbamoyladenylate synthase,GEGEGB_01728,LNHIMF_01791,BEJGEH_01345,HFCAGB_01557,AJBGEP_01813,ODDLKH_02211,OEKLIE_01478;OEKLIE_00650,ALJMDI_03550,PAPNPA_04083,BENMGJ_03622,IKCLMC_04447,PKJKAM_04457,ONMMKP_00316
cbiN,cbiN,energy-coupling factor ABC transporter substrate-binding protein,GEGEGB_00908,LNHIMF_02102,BEJGEH_02039,HFCAGB_02281,AJBGEP_02182,ODDLKH_02516,OEKLIE_03647,ALJMDI_01766,PAPNPA_04136,BENMGJ_02380,IKCLMC_01988,PKJKAM_04139,ONMMKP_04824
group_3463,,Cytochrome c-type biogenesis protein,GEGEGB_03914,1_refound_55,BEJGEH_02270,HFCAGB_02507,AJBGEP_04013,ODDLKH_04270,OEKLIE_02662;OEKLIE_00027,ALJMDI_01993,PAPNPA_01062,BENMGJ_03181,10_refound_418,PKJKAM_03023,ONMMKP_03025
ssaP,ssaP,SPI-2 type III secretion system apparatus protein SsaP,GEGEGB_01364,LNHIMF_01468,BEJGEH_01669,HFCAGB_01865,AJBGEP_01498,ODDLKH_01898,OEKLIE_00324,ALJMDI_03228,PAPNPA_00866,BENMGJ_03307,IKCLMC_04758,PKJKAM_00799,ONMMKP_00633
group_3456,,Inner membrane protein,GEGEGB_01090,LNHIMF_01924,BEJGEH_01211,HFCAGB_01422,AJBGEP_01948,ODDLKH_02345,OEKLIE_01379,ALJMDI_00210,PAPNPA_00695,BENMGJ_03755,IKCLMC_04311,PKJKAM_04323,ONMMKP_00182
group_3450,,DUF2531 domain-containing protein,GEGEGB_04246,LNHIMF_03542,BEJGEH_03522,HFCAGB_03725,AJBGEP_03675,ODDLKH_03935,OEKLIE_03858,ALJMDI_02563,PAPNPA_01569,BENMGJ_02843,IKCLMC_02903,PKJKAM_03873,ONMMKP_03349
group_3449,,Membrane protein;Inner membrane protein,GEGEGB_02653,LNHIMF_00373,BEJGEH_00354,HFCAGB_00365,AJBGEP_00365,ODDLKH_00833,OEKLIE_02698,ALJMDI_04346,PAPNPA_01919,BENMGJ_04005,IKCLMC_02106,PKJKAM_03397,ONMMKP_01815;ONMMKP_01814
pagC,pagC,virulence membrane protein PagC,GEGEGB_01191,LNHIMF_01293,BEJGEH_01844,HFCAGB_02050,AJBGEP_01322,ODDLKH_01721,OEKLIE_03005,ALJMDI_00553,PAPNPA_01141,BENMGJ_00828,IKCLMC_00966,PKJKAM_00501,ONMMKP_00889
